0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
(2045+2044j),(2044+2047j),(2050+2049j),(2047+2049j),(2042+2047j),(2048+2046j),(2053+2048j),(2050+2047j),(2050+2050j),(2050+2050j),(2047+2048j),(2048+2045j),(2053+2049j),(2049+2048j),(2047+2046j),(2050+2045j),(2048+2048j),(2042+2048j),(2040+2047j),(2040+2044j),(2042+2045j),(2043+2045j),(2043+2047j),(2043+2049j),(2044+2045j),(2044+2043j),(2046+2042j),(2048+2043j),(2047+2041j),(2044+2038j),(2052+2043j),(2049+2046j),(2044+2045j),(2042+2047j),(2045+2046j),(2045+2041j),(2044+2043j),(2048+2045j),(2044+2045j),(2044+2046j),(2045+2048j),(2046+2047j),(2045+2049j),(2043+2047j),(2046+2044j),(2047+2047j),(2044+2045j),(2043+2045j),(2046+2042j),(2044+2042j)
(2048+2047j),(2048+2046j),(2049+2047j),(2051+2048j),(2048+2047j),(2051+2044j),(2055+2049j),(2055+2050j),(2052+2048j),(2053+2050j),(2057+2051j),(2055+2050j),(2056+2053j),(2056+2056j),(2049+2055j),(2049+2053j),(2044+2055j),(2043+2052j),(2044+2054j),(2047+2054j),(2048+2055j),(2049+2059j),(2046+2058j),(2040+2051j),(2047+2049j),(2050+2050j),(2050+2044j),(2052+2050j),(2051+2054j),(2047+2052j),(2047+2054j),(2047+2057j),(2047+2055j),(2045+2052j),(2050+2050j),(2053+2052j),(2052+2053j),(2049+2054j),(2044+2054j),(2047+2051j),(2046+2049j),(2046+2044j),(2050+2045j),(2052+2046j),(2050+2042j),(2049+2044j),(2052+2041j),(2051+2049j),(2068+2049j),(2059+2035j)
(2046+2046j),(2045+2044j),(2043+2045j),(2048+2050j),(2046+2049j),(2048+2042j),(2051+2044j),(2056+2045j),(2051+2043j),(2051+2041j),(2055+2044j),(2055+2046j),(2056+2045j),(2055+2048j),(2052+2048j),(2056+2049j),(2054+2051j),(2052+2050j),(2052+2055j),(2048+2052j),(2046+2049j),(2048+2058j),(2049+2057j),(2048+2052j),(2053+2047j),(2060+2053j),(2056+2052j),(2054+2054j),(2052+2057j),(2050+2053j),(2055+2050j),(2058+2052j),(2057+2057j),(2053+2061j),(2050+2060j),(2044+2059j),(2041+2060j),(2041+2056j),(2034+2051j),(2039+2052j),(2044+2055j),(2040+2051j),(2039+2052j),(2041+2053j),(2041+2045j),(2042+2042j),(2049+2047j),(2045+2051j),(2053+2056j),(2052+2053j)
(2047+2050j),(2052+2044j),(2063+2049j),(2066+2061j),(2039+2048j),(2055+2042j),(2061+2050j),(2057+2055j),(2045+2056j),(2046+2051j),(2055+2047j),(2054+2052j),(2060+2057j),(2046+2060j),(2044+2052j),(2056+2047j),(2048+2054j),(2050+2056j),(2036+2061j),(2032+2040j),(2048+2041j),(2050+2049j),(2042+2049j),(2029+2051j),(2039+2035j),(2042+2044j),(2052+2038j),(2055+2049j),(2040+2050j),(2041+2040j),(2060+2039j),(2062+2046j),(2056+2060j),(2043+2057j),(2042+2052j),(2054+2055j),(2045+2060j),(2044+2062j),(2026+2060j),(2035+2052j),(2037+2048j),(2040+2046j),(2038+2054j),(2031+2049j),(2036+2034j),(2038+2035j),(1236+2168j),(2046.4565217391305+2049.717391304348j),(2046.4565217391305+2049.717391304348j),(2046.4565217391305+2049.717391304348j)
(2048+2048j),(2044+2058j),(2040+2057j),(2036+2052j),(2047+2051j),(2042+2054j),(2042+2051j),(2040+2043j),(2050+2046j),(2052+2052j),(2040+2051j),(2039+2045j),(2042+2043j),(2047+2038j),(2051+2043j),(2047+2049j),(2047+2041j),(2047+2043j),(2050+2038j),(2050+2047j),(2043+2047j),(2045+2041j),(2046+2041j),(2054+2042j),(2051+2053j),(2046+2043j),(2047+2049j),(2046+2045j),(2054+2040j),(2054+2047j),(2047+2052j),(2045+2049j),(2048+2044j),(2056+2050j),(2056+2057j),(2048+2057j),(2051+2052j),(2049+2046j),(2063+2048j),(2055+2054j),(2052+2052j),(2049+2057j),(2049+2056j),(2052+2053j),(2046+2060j),(2048+2060j),(2053+2049j),(2049+2054j),(2054+2050j),(2054+2049j)
(2047+2049j),(2048+2049j),(2048+2054j),(2046+2052j),(2045+2046j),(2049+2047j),(2051+2049j),(2050+2047j),(2047+2046j),(2051+2048j),(2048+2048j),(2049+2046j),(2049+2047j),(2051+2046j),(2050+2047j),(2050+2048j),(2051+2045j),(2053+2050j),(2051+2050j),(2047+2049j),(2051+2054j),(2050+2057j),(2045+2051j),(2046+2050j),(2051+2054j),(2049+2051j),(2048+2051j),(2048+2053j),(2048+2049j),(2050+2048j),(2050+2050j),(2050+2050j),(2051+2052j),(2049+2051j),(2046+2051j),(2045+2053j),(2043+2050j),(2042+2046j),(2048+2050j),(2050+2052j),(2049+2048j),(2050+2048j),(2051+2050j),(2051+2044j),(2053+2042j),(2056+2045j),(2045+2043j),(2045+2047j),(2049+2045j),(2042+2042j)
(2045+2044j),(2049+2047j),(2048+2051j),(2045+2054j),(2039+2055j),(2041+2053j),(2041+2053j),(2040+2053j),(2038+2052j),(2034+2051j),(2035+2050j),(2035+2049j),(2037+2047j),(2038+2049j),(2037+2047j),(2037+2041j),(2041+2044j),(2042+2043j),(2039+2038j),(2040+2036j),(2043+2037j),(2046+2032j),(2049+2035j),(2054+2036j),(2055+2034j),(2058+2035j),(2060+2038j),(2053+2039j),(2052+2038j),(2054+2040j),(2053+2037j),(2056+2041j),(2051+2041j),(2045+2038j),(2045+2039j),(2045+2038j),(2041+2034j),(2045+2034j),(2051+2036j),(2048+2035j),(2045+2036j),(2047+2039j),(2046+2037j),(2048+2039j),(2054+2039j),(2056+2042j),(2045+2047j),(2035+2052j),(2047+2055j),(2039+2044j)
(2048+2048j),(2058+2052j),(2050+2049j),(2049+2050j),(2047+2050j),(2049+2044j),(2053+2046j),(2056+2048j),(2052+2045j),(2050+2044j),(2051+2043j),(2051+2044j),(2056+2045j),(2056+2049j),(2050+2048j),(2055+2047j),(2050+2049j),(2043+2044j),(2044+2047j),(2045+2047j),(2046+2044j),(2047+2046j),(2047+2049j),(2044+2045j),(2045+2040j),(2050+2043j),(2049+2043j),(2050+2043j),(2047+2045j),(2046+2043j),(2050+2041j),(2051+2043j),(2049+2042j),(2046+2038j),(2049+2038j),(2047+2042j),(2046+2043j),(2050+2046j),(2047+2045j),(2045+2042j),(2048+2044j),(2050+2045j),(2045+2044j),(2046+2046j),(2053+2049j),(2052+2046j),(2048+2049j),(2050+2046j),(2049+2046j),(2046+2045j)
(2045+2049j),(2042+2048j),(2042+2050j),(2041+2045j),(2048+2043j),(2051+2042j),(2055+2044j),(2057+2041j),(2059+2044j),(2059+2049j),(2058+2050j),(2055+2047j),(2050+2042j),(2057+2043j),(2056+2049j),(2046+2049j),(2045+2044j),(2048+2048j),(2051+2047j),(2047+2046j),(2046+2050j),(2047+2051j),(2043+2043j),(2047+2039j),(2053+2046j),(2053+2042j),(2049+2045j),(2048+2045j),(2050+2044j),(2049+2045j),(2046+2044j),(2045+2041j),(2053+2042j),(2053+2044j),(2048+2046j),(2048+2050j),(2048+2049j),(2041+2042j),(2045+2044j),(2047+2047j),(2045+2043j),(2043+2044j),(2049+2048j),(2051+2049j),(2046+2051j),(2047+2053j),(2042+2052j),(2043+2055j),(2047+2056j),(2043+2052j)
(2051+2044j),(2054+2046j),(2051+2047j),(2050+2045j),(2050+2048j),(2046+2047j),(2047+2043j),(2052+2044j),(2050+2046j),(2049+2046j),(2048+2047j),(2045+2047j),(2046+2046j),(2046+2046j),(2049+2046j),(2047+2046j),(2050+2047j),(2049+2049j),(2049+2045j),(2052+2046j),(2053+2048j),(2054+2045j),(2053+2047j),(2055+2049j),(2051+2051j),(2049+2051j),(2050+2052j),(2045+2052j),(2043+2054j),(2043+2055j),(2038+2050j),(2041+2050j),(2042+2050j),(2039+2045j),(2043+2048j),(2043+2047j),(2042+2044j),(2041+2044j),(2048+2045j),(2045+2041j),(2046+2041j),(2049+2044j),(2047+2044j),(2049+2043j),(2049+2046j),(2046+2044j),(2044+2039j),(2040+2045j),(2055+2046j),(2053+2036j)
