0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
(2047+2053j),(2045+2049j),(2045+2047j),(2051+2051j),(2041+2050j),(2036+2049j),(2037+2050j),(2040+2047j),(2038+2046j),(2045+2047j),(2046+2054j),(2045+2048j),(2053+2050j),(2055+2056j),(2051+2054j),(2048+2053j),(2055+2050j),(2056+2054j),(2052+2056j),(2047+2061j),(2049+2064j),(2041+2066j),(2040+2058j),(2035+2055j),(2036+2057j),(2037+2052j),(2040+2046j),(2044+2053j),(2043+2055j),(2042+2048j),(2041+2047j),(2048+2049j),(2047+2047j),(2048+2043j),(2053+2045j),(2057+2044j),(2056+2043j),(2054+2050j),(2053+2050j),(2049+2047j),(2047+2048j),(2043+2047j),(2046+2049j),(2043+2050j),(2039+2048j),(2037+2047j),(2043+2053j),(2047+2057j),(2044+2055j),(2047+2055j)
(2049+2046j),(2050+2048j),(2050+2049j),(2052+2046j),(2051+2050j),(2049+2053j),(2046+2055j),(2041+2050j),(2044+2050j),(2047+2054j),(2044+2049j),(2050+2048j),(2054+2054j),(2048+2051j),(2046+2050j),(2052+2054j),(2052+2052j),(2049+2047j),(2053+2050j),(2054+2055j),(2050+2054j),(2045+2051j),(2041+2050j),(2045+2047j),(2048+2046j),(2046+2044j),(2045+2044j),(2047+2049j),(2045+2043j),(2041+2042j),(2047+2045j),(2043+2041j),(2044+2035j),(2048+2039j),(2047+2038j),(2045+2036j),(2044+2042j),(2045+2041j),(2046+2040j),(2046+2041j),(2047+2039j),(2051+2043j),(2048+2044j),(2044+2042j),(2043+2044j),(2047+2049j),(2057+2051j),(2056+2045j),(2054+2046j),(2062+2048j)
(2050+2053j),(2049+2051j),(2050+2049j),(2059+2054j),(2062+2060j),(2058+2058j),(2058+2058j),(2061+2063j),(2058+2064j),(2058+2063j),(2055+2065j),(2051+2061j),(2051+2056j),(2048+2057j),(2050+2056j),(2049+2055j),(2043+2053j),(2041+2047j),(2048+2049j),(2046+2046j),(2045+2041j),(2049+2043j),(2054+2046j),(2051+2041j),(2051+2044j),(2058+2053j),(2052+2053j),(2048+2050j),(2050+2054j),(2049+2054j),(2045+2052j),(2044+2057j),(2036+2056j),(2033+2054j),(2031+2053j),(2032+2047j),(2038+2046j),(2039+2047j),(2036+2042j),(2039+2042j),(2047+2045j),(2043+2035j),(2042+2035j),(2053+2042j),(2054+2042j),(2048+2040j),(2038+2042j),(2044+2045j),(2048+2042j),(2040+2039j)
(2048+2048j),(2045+2041j),(2042+2034j),(2043+2031j),(2044+2024j),(2045+2016j),(2052+2011j),(2062+2012j),(2065+2010j),(2071+2011j),(2079+2019j),(2082+2026j),(2083+2033j),(2083+2046j),(2078+2052j),(2067+2056j),(2058+2067j),(2050+2071j),(2040+2075j),(2028+2076j),(2019+2071j),(2015+2068j),(2013+2065j),(2011+2055j),(2013+2050j),(2021+2048j),(2025+2037j),(2036+2029j),(2053+2034j),(2058+2032j),(2063+2032j),(2073+2041j),(2073+2044j),(2070+2047j),(2071+2056j),(2064+2060j),(2059+2065j),(2053+2073j),(2042+2074j),(2033+2074j),(2027+2072j),(2020+2064j),(2016+2057j),(2021+2056j),(2020+2045j),(2021+2038j),(2042+2050j),(2045+2057j),(2046+2057j),(2044+2058j)
(2048+2050j),(2046+2058j),(2036+2071j),(2027+2080j),(2007+2089j),(1989+2095j),(1973+2092j),(1963+2078j),(1962+2065j),(1972+2054j),(1975+2040j),(1983+2021j),(2008+2006j),(2032+1993j),(2039+1985j),(2041+1985j),(2048+1989j),(2051+1997j),(2089+2011j),(2112+2028j),(2124+2048j),(2112+2061j),(2102+2073j),(2088+2091j),(2067+2100j),(2046+2098j),(2029+2095j),(2017+2090j),(2007+2076j),(2000+2058j),(2002+2045j),(2011+2032j),(2019+2015j),(2033+2007j),(2059+2002j),(2075+1998j),(2087+1999j),(2104+2012j),(2119+2022j),(2116+2034j),(2113+2050j),(2107+2068j),(2094+2082j),(2078+2088j),(2060+2098j),(2038+2105j),(2052+2046j),(2066+2043j),(2077+2031j),(2091+2015j)
(2047+2049j),(2037+2053j),(2016+2051j),(2006+2049j),(1985+2041j),(1983+2027j),(1992+2015j),(1999+2005j),(2008+1998j),(2033+1991j),(2044+1986j),(2063+1981j),(2094+1993j),(2078+2009j),(2085+2021j),(2101+2038j),(2112+2053j),(2099+2073j),(2077+2086j),(2060+2098j),(2044+2103j),(2025+2096j),(2020+2092j),(2005+2094j),(1996+2081j),(2002+2059j),(2016+2049j),(2026+2052j),(2019+2042j),(2033+2027j),(2048+2026j),(2072+2022j),(2086+2029j),(2089+2046j),(2091+2052j),(2090+2055j),(2091+2060j),(2088+2075j),(2079+2082j),(2063+2078j),(2059+2077j),(2055+2081j),(2047+2086j),(2031+2079j),(2023+2074j),(2023+2068j),(2047+2056j),(2049+2061j),(2055+2067j),(2074+2070j)
(2054+2045j),(2051+2043j),(2048+2035j),(2051+2033j),(2061+2021j),(2071+2011j),(2089+2017j),(2095+2026j),(2099+2033j),(2101+2047j),(2094+2056j),(2091+2068j),(2072+2080j),(2047+2079j),(2038+2080j),(2030+2081j),(2014+2076j),(2000+2072j),(1998+2072j),(1988+2057j),(1987+2035j),(2009+2024j),(2014+2021j),(2026+2004j),(2050+2000j),(2069+2003j),(2085+2012j),(2093+2022j),(2101+2033j),(2096+2048j),(2095+2058j),(2083+2069j),(2072+2082j),(2061+2096j),(2037+2100j),(2015+2101j),(1999+2105j),(1979+2091j),(1964+2074j),(1963+2059j),(1972+2037j),(1980+2018j),(1993+2004j),(2016+1996j),(2036+1986j),(2061+1983j),(2047+2055j),(2038+2057j),(2025+2069j),(2010+2083j)
(2053+2046j),(2059+2037j),(2073+2025j),(2108+2045j),(2094+2065j),(2082+2074j),(2066+2085j),(2060+2083j),(2045+2080j),(2051+2080j),(2046+2091j),(2029+2085j),(2024+2085j),(2015+2089j),(2003+2078j),(1989+2062j),(2000+2038j),(2008+2034j),(2020+2027j),(2023+2017j),(2034+2014j),(2039+2015j),(2058+2007j),(2059+2013j),(2070+2013j),(2082+2011j),(2095+2010j),(2103+2035j),(2088+2047j),(2086+2048j),(2068+2060j),(2067+2062j),(2061+2072j),(2048+2078j),(2036+2072j),(2027+2072j),(2027+2067j),(2011+2063j),(1997+2053j),(2002+2043j),(2009+2031j),(2010+2018j),(2026+2020j),(2035+2008j),(2049+2002j),(2061+2006j),(1571+1850j),(2045.5652173913043+2047.0869565217392j),(2045.5652173913043+2047.0869565217392j),(2045.5652173913043+2047.0869565217392j)
(2048+2044j),(2068+2053j),(2097+2082j),(2100+2126j),(2074+2168j),(2047+2199j),(2010+2211j),(1974+2213j),(1944+2210j),(1919+2193j),(1893+2165j),(1880+2128j),(1880+2087j),(1891+2044j),(1912+2001j),(1944+1958j),(1998+1926j),(2051+1918j),(2090+1907j),(2132+1912j),(2172+1929j),(2197+1945j),(2219+1971j),(2226+2014j),(2209+2049j),(2178+2074j),(2152+2099j),(2118+2123j),(2070+2132j),(2031+2133j),(1990+2126j),(1964+2105j),(1944+2082j),(1934+2049j),(1941+2020j),(1954+1991j),(1977+1956j),(2008+1935j),(2051+1922j),(2089+1916j),(2122+1924j),(2153+1938j),(2174+1956j),(2184+1974j),(2192+2009j),(2186+2041j),(2048+2050j),(2047+2035j),(2032+2015j),(2001+1993j)
(2048+2048j),(2012+2054j),(1954+2054j),(1887+2023j),(1860+1970j),(1860+1908j),(1894+1853j),(1950+1820j),(2010+1801j),(2069+1797j),(2138+1807j),(2194+1834j),(2236+1871j),(2270+1925j),(2282+1986j),(2276+2048j),(2248+2117j),(2199+2170j),(2140+2217j),(2074+2248j),(2003+2255j),(1951+2244j),(1907+2226j),(1882+2189j),(1874+2149j),(1881+2112j),(1893+2066j),(1925+2018j),(1984+1987j),(2035+1967j),(2095+1954j),(2147+1969j),(2186+1992j),(2211+2024j),(2220+2066j),(2216+2104j),(2191+2144j),(2163+2178j),(2117+2206j),(2064+2221j),(2011+2223j),(1966+2211j),(1927+2181j),(1910+2152j),(1898+2110j),(1903+2071j),(2046+2053j),(2047+2072j),(2052+2098j),(2070+2125j)
