0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
(2048+2056j),(2037+2052j),(2035+2043j),(2046+2053j),(2038+2047j),(2047+2040j),(2051+2048j),(2045+2052j),(2040+2053j),(2044+2053j),(2039+2051j),(2045+2044j),(2051+2046j),(2047+2046j),(2050+2049j),(2048+2052j),(2044+2046j),(2042+2050j),(2046+2051j),(2041+2042j),(2043+2040j),(2050+2044j),(2053+2040j),(2049+2041j),(2048+2045j),(2046+2042j),(2047+2033j),(2056+2039j),(2049+2042j),(2055+2040j),(2054+2049j),(2048+2049j),(2047+2050j),(2046+2051j),(2041+2040j),(2046+2042j),(2059+2050j),(2052+2046j),(2046+2048j),(2047+2056j),(2048+2050j),(2040+2041j),(2051+2047j),(2053+2047j),(2051+2044j),(2054+2050j),(2052+2046j),(2055+2046j),(2055+2041j),(2049+2039j)
(2055+2052j),(2048+2051j),(2048+2052j),(2048+2057j),(2044+2051j),(2043+2048j),(2047+2054j),(2036+2052j),(2038+2046j),(2043+2050j),(2039+2047j),(2039+2040j),(2045+2043j),(2042+2037j),(2048+2037j),(2052+2041j),(2047+2042j),(2049+2042j),(2054+2045j),(2051+2038j),(2051+2039j),(2060+2048j),(2054+2047j),(2051+2045j),(2054+2055j),(2048+2055j),(2044+2048j),(2050+2050j),(2051+2048j),(2047+2044j),(2052+2052j),(2045+2053j),(2043+2049j),(2044+2049j),(2047+2042j),(2054+2040j),(2058+2045j),(2054+2042j),(2051+2045j),(2055+2055j),(2049+2048j),(2047+2046j),(2052+2053j),(2055+2052j),(2048+2048j),(2049+2054j),(2042+2044j),(2048+2044j),(2046+2038j),(2046+2040j)
(2045+2053j),(2041+2057j),(2033+2047j),(2043+2051j),(2041+2045j),(2045+2037j),(2051+2039j),(2059+2049j),(2041+2049j),(2044+2047j),(2046+2055j),(2040+2045j),(2050+2041j),(2056+2058j),(2049+2059j),(2037+2058j),(2046+2061j),(2040+2066j),(2034+2061j),(2038+2055j),(2043+2053j),(2043+2048j),(2060+2050j),(2048+2056j),(2038+2054j),(2046+2052j),(2047+2041j),(2055+2042j),(2057+2052j),(2060+2047j),(2050+2046j),(2061+2052j),(2054+2054j),(2043+2052j),(2049+2052j),(2049+2050j),(2052+2049j),(2046+2059j),(2039+2056j),(2034+2051j),(2041+2051j),(2041+2044j),(2044+2046j),(2047+2048j),(2051+2042j),(2047+2040j),(1315+2197j),(2046.1739130434783+2050.4347826086955j),(2046.1739130434783+2050.4347826086955j),(2046.1739130434783+2050.4347826086955j)
(2044+2048j),(2045+2050j),(2041+2048j),(2049+2050j),(2050+2047j),(2055+2042j),(2065+2047j),(2060+2051j),(2055+2052j),(2061+2057j),(2054+2057j),(2045+2050j),(2052+2052j),(2049+2052j),(2041+2047j),(2042+2051j),(2042+2053j),(2038+2046j),(2041+2043j),(2045+2039j),(2047+2033j),(2051+2031j),(2058+2034j),(2057+2037j),(2056+2039j),(2059+2038j),(2058+2035j),(2065+2039j),(2065+2044j),(2057+2045j),(2055+2051j),(2052+2057j),(2039+2053j),(2035+2055j),(2039+2054j),(2040+2047j),(2043+2050j),(2044+2054j),(2039+2049j),(2033+2044j),(2039+2042j),(2040+2040j),(2044+2042j),(2051+2042j),(2053+2039j),(2054+2045j),(2048+2042j),(2052+2047j),(2053+2042j),(2041+2033j)
(2051+2052j),(2047+2049j),(2050+2043j),(2057+2044j),(2058+2035j),(2061+2034j),(2073+2041j),(2069+2044j),(2067+2043j),(2069+2054j),(2063+2056j),(2056+2055j),(2057+2059j),(2052+2058j),(2048+2057j),(2045+2061j),(2034+2062j),(2026+2057j),(2024+2057j),(2021+2048j),(2021+2039j),(2033+2038j),(2033+2035j),(2037+2030j),(2048+2036j),(2050+2036j),(2050+2033j),(2056+2039j),(2062+2039j),(2060+2038j),(2066+2046j),(2063+2055j),(2054+2057j),(2048+2062j),(2044+2064j),(2040+2062j),(2040+2065j),(2038+2064j),(2033+2057j),(2033+2058j),(2026+2053j),(2024+2044j),(2030+2042j),(2039+2039j),(2042+2032j),(2050+2035j),(2050+2052j),(2055+2056j),(2050+2049j),(2045+2050j)
(2057+2053j),(2053+2050j),(2050+2043j),(2056+2050j),(2042+2045j),(2040+2039j),(2042+2037j),(2036+2027j),(2037+2021j),(2056+2019j),(2062+2017j),(2070+2015j),(2084+2030j),(2079+2040j),(2071+2042j),(2073+2049j),(2072+2050j),(2068+2053j),(2071+2062j),(2064+2070j),(2056+2075j),(2048+2078j),(2038+2079j),(2024+2078j),(2021+2075j),(2017+2065j),(2016+2056j),(2023+2058j),(2016+2051j),(2017+2040j),(2024+2037j),(2034+2029j),(2041+2020j),(2058+2026j),(2067+2032j),(2065+2033j),(2073+2038j),(2076+2043j),(2075+2046j),(2071+2053j),(2070+2060j),(2062+2063j),(2056+2076j),(2043+2075j),(2036+2071j),(2032+2076j),(2165+1960j),(2050.913043478261+2048.804347826087j),(2050.913043478261+2048.804347826087j),(2050.913043478261+2048.804347826087j)
(2048+2048j),(2059+2036j),(2077+2031j),(2092+2020j),(2112+2018j),(2130+2030j),(2133+2037j),(2129+2045j),(2128+2060j),(2116+2067j),(2106+2075j),(2095+2092j),(2072+2104j),(2046+2105j),(2029+2108j),(2006+2106j),(1983+2092j),(1981+2078j),(1972+2065j),(1973+2044j),(1983+2041j),(1986+2034j),(1988+2023j),(2002+2018j),(2013+2005j),(2027+1996j),(2048+1996j),(2066+1997j),(2077+2001j),(2084+2015j),(2090+2032j),(2076+2041j),(2073+2052j),(2070+2062j),(2059+2067j),(2051+2073j),(2040+2078j),(2028+2077j),(2019+2080j),(2012+2079j),(2002+2071j),(1998+2066j),(1997+2052j),(2003+2036j),(2009+2034j),(2016+2029j),(2056+2053j),(2054+2046j),(2054+2051j),(2057+2060j)
(2040+2046j),(2027+2053j),(1997+2050j),(1963+2035j),(1952+2014j),(1950+1991j),(1957+1964j),(1983+1945j),(2009+1929j),(2046+1919j),(2083+1932j),(2108+1949j),(2120+1966j),(2139+1989j),(2144+2010j),(2140+2025j),(2148+2051j),(2137+2079j),(2117+2097j),(2095+2123j),(2069+2138j),(2035+2140j),(2010+2138j),(1993+2126j),(1983+2106j),(1984+2094j),(1984+2082j),(1986+2068j),(1993+2060j),(2011+2047j),(2025+2034j),(2048+2035j),(2062+2036j),(2073+2029j),(2092+2037j),(2102+2051j),(2096+2061j),(2091+2076j),(2083+2087j),(2071+2083j),(2066+2088j),(2057+2096j),(2046+2093j),(2034+2096j),(2027+2095j),(2018+2085j),(2047+2047j),(2044+2046j),(2049+2051j),(2046+2043j)
(2048+2044j),(2048+2037j),(2058+2031j),(2067+2034j),(2061+2029j),(2072+2030j),(2070+2035j),(2072+2044j),(2065+2056j),(2060+2054j),(2053+2058j),(2052+2060j),(2040+2062j),(2029+2062j),(2027+2062j),(2016+2053j),(2021+2041j),(2030+2048j),(2027+2038j),(2029+2029j),(2046+2031j),(2052+2025j),(2069+2022j),(2073+2036j),(2073+2044j),(2069+2046j),(2076+2052j),(2073+2066j),(2058+2074j),(2062+2081j),(2045+2089j),(2034+2090j),(2026+2100j),(2003+2102j),(1981+2088j),(1972+2079j),(1975+2056j),(1978+2039j),(1994+2027j),(2014+2018j),(2027+2011j),(2037+2010j),(2054+2015j),(2057+2007j),(2076+2005j),(2095+2013j),(1868+2147j),(2042.695652173913+2046.3695652173913j),(2042.695652173913+2046.3695652173913j),(2042.695652173913+2046.3695652173913j)
(2048+2048j),(2050+2064j),(2050+2074j),(2049+2097j),(2037+2109j),(2015+2122j),(2001+2131j),(1977+2127j),(1960+2111j),(1960+2104j),(1951+2092j),(1947+2068j),(1954+2050j),(1965+2023j),(1989+1993j),(2019+1982j),(2039+1973j),(2065+1963j),(2090+1966j),(2110+1971j),(2127+1978j),(2142+1993j),(2146+2008j),(2150+2020j),(2150+2045j),(2137+2062j),(2118+2075j),(2101+2087j),(2086+2094j),(2059+2092j),(2045+2089j),(2034+2085j),(2020+2073j),(2014+2063j),(2016+2055j),(2017+2037j),(2027+2025j),(2043+2021j),(2054+2014j),(2062+2017j),(2066+2018j),(2076+2014j),(2082+2024j),(2089+2031j),(2087+2034j),(2079+2047j),(2055+2050j),(2063+2049j),(2059+2035j),(2051+2028j)
