0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
(2040+2036j),(2056+2037j),(2052+2048j),(2051+2051j),(2017+2054j),(2031+2045j),(2034+2038j),(2038+2046j),(2033+2046j),(2033+2033j),(2053+2026j),(2052+2038j),(2056+2033j),(2052+2043j),(2048+2041j),(2060+2027j),(2065+2047j),(2063+2053j),(2044+2062j),(2041+2048j),(2054+2057j),(2044+2059j),(2042+2062j),(2037+2072j),(2031+2051j),(2032+2059j),(2041+2050j),(2040+2055j),(2030+2058j),(2029+2050j),(2043+2039j),(2052+2044j),(2055+2055j),(2043+2044j),(2051+2044j),(2070+2043j),(2059+2049j),(2066+2056j),(2052+2062j),(2054+2052j),(2052+2055j),(2058+2059j),(2054+2058j),(2038+2064j),(2043+2057j),(2039+2059j),(2252+2256j),(2046.2608695652175+2049.2391304347825j),(2046.2608695652175+2049.2391304347825j),(2046.2608695652175+2049.2391304347825j)
(2047+2044j),(2054+2047j),(2056+2054j),(2051+2054j),(2041+2053j),(2046+2054j),(2043+2052j),(2046+2052j),(2047+2053j),(2044+2051j),(2047+2049j),(2047+2052j),(2048+2048j),(2048+2046j),(2051+2047j),(2053+2043j),(2051+2046j),(2053+2048j),(2048+2050j),(2049+2046j),(2055+2051j),(2052+2051j),(2049+2047j),(2047+2052j),(2044+2047j),(2039+2045j),(2041+2043j),(2044+2045j),(2038+2045j),(2038+2045j),(2044+2043j),(2042+2041j),(2045+2045j),(2045+2042j),(2040+2038j),(2048+2042j),(2047+2045j),(2045+2042j),(2044+2046j),(2050+2046j),(2049+2043j),(2051+2049j),(2051+2051j),(2044+2051j),(2046+2052j),(2047+2054j),(2047+2046j),(2040+2040j),(2050+2044j),(2047+2043j)
(2044+2052j),(2050+2050j),(2050+2053j),(2047+2051j),(2036+2052j),(2044+2050j),(2045+2050j),(2045+2048j),(2048+2047j),(2052+2045j),(2056+2039j),(2058+2043j),(2057+2045j),(2052+2043j),(2053+2041j),(2056+2039j),(2053+2041j),(2055+2045j),(2049+2050j),(2044+2046j),(2049+2050j),(2046+2053j),(2039+2051j),(2042+2057j),(2043+2054j),(2040+2048j),(2044+2048j),(2047+2050j),(2043+2045j),(2044+2043j),(2053+2045j),(2050+2044j),(2052+2051j),(2051+2050j),(2047+2044j),(2056+2044j),(2053+2048j),(2049+2045j),(2046+2052j),(2048+2052j),(2043+2048j),(2045+2053j),(2045+2051j),(2038+2043j),(2041+2044j),(2045+2047j),(2048+2051j),(2044+2048j),(2045+2049j),(2043+2051j)
(2044+2037j),(2058+2040j),(2057+2049j),(2058+2048j),(2039+2050j),(2053+2048j),(2057+2044j),(2061+2053j),(2055+2055j),(2050+2049j),(2061+2050j),(2056+2059j),(2052+2055j),(2047+2059j),(2042+2059j),(2042+2047j),(2045+2056j),(2044+2055j),(2032+2052j),(2036+2043j),(2046+2048j),(2041+2044j),(2043+2043j),(2043+2050j),(2043+2034j),(2048+2037j),(2059+2032j),(2063+2038j),(2057+2045j),(2054+2045j),(2061+2040j),(2064+2047j),(2064+2058j),(2049+2054j),(2044+2052j),(2052+2054j),(2039+2055j),(2039+2055j),(2027+2057j),(2032+2048j),(2029+2042j),(2033+2040j),(2033+2034j),(2030+2033j),(2036+2028j),(2041+2028j),(2046+2047j),(2039+2042j),(2038+2048j),(2036+2052j)
(2048+2048j),(2038+2049j),(2039+2043j),(2029+2035j),(2034+2027j),(2035+2023j),(2037+2016j),(2047+2007j),(2064+2009j),(2073+2015j),(2073+2021j),(2077+2027j),(2077+2030j),(2082+2033j),(2085+2044j),(2075+2056j),(2067+2057j),(2063+2066j),(2057+2068j),(2046+2073j),(2035+2076j),(2027+2071j),(2020+2061j),(2022+2057j),(2023+2060j),(2018+2046j),(2022+2045j),(2028+2037j),(2033+2030j),(2043+2034j),(2048+2037j),(2052+2031j),(2063+2034j),(2070+2039j),(2070+2040j),(2072+2049j),(2076+2055j),(2066+2057j),(2068+2065j),(2061+2072j),(2050+2067j),(2042+2073j),(2039+2074j),(2031+2070j),(2023+2074j),(2025+2071j),(2047+2048j),(2044+2045j),(2047+2049j),(2058+2052j)
(2041+2052j),(2039+2042j),(2037+2035j),(2033+2020j),(2031+2000j),(2047+1989j),(2056+1979j),(2068+1975j),(2081+1978j),(2094+1981j),(2108+1987j),(2117+2004j),(2122+2019j),(2119+2033j),(2114+2054j),(2106+2072j),(2085+2083j),(2073+2097j),(2054+2109j),(2032+2109j),(2019+2115j),(1999+2113j),(1985+2101j),(1979+2097j),(1976+2082j),(1973+2064j),(1984+2054j),(1998+2044j),(2005+2028j),(2023+2022j),(2044+2020j),(2055+2014j),(2071+2021j),(2084+2029j),(2087+2033j),(2096+2044j),(2097+2060j),(2087+2066j),(2075+2081j),(2066+2091j),(2051+2094j),(2038+2105j),(2025+2105j),(2003+2094j),(1998+2086j),(1992+2079j),(1943+1769j),(2049.282608695652+2051.304347826087j),(2049.282608695652+2051.304347826087j),(2049.282608695652+2051.304347826087j)
(2052+2053j),(2045+2043j),(2051+2028j),(2066+2012j),(2088+1995j),(2107+1991j),(2127+1994j),(2142+2004j),(2145+2021j),(2144+2035j),(2133+2054j),(2118+2070j),(2101+2077j),(2085+2080j),(2074+2092j),(2049+2103j),(2024+2097j),(2013+2101j),(2000+2102j),(1978+2095j),(1965+2079j),(1969+2065j),(1971+2047j),(1980+2032j),(1990+2030j),(1998+2022j),(2007+2015j),(2020+2012j),(2035+2009j),(2049+2011j),(2060+2017j),(2069+2021j),(2075+2027j),(2078+2040j),(2072+2052j),(2061+2057j),(2058+2064j),(2050+2065j),(2049+2064j),(2049+2074j),(2046+2081j),(2030+2080j),(2021+2080j),(2017+2082j),(2001+2074j),(1995+2065j),(2046+2053j),(2044+2058j),(2060+2059j),(2072+2056j)
(2047+2050j),(2040+2078j),(2006+2126j),(1941+2169j),(1886+2185j),(1833+2185j),(1793+2169j),(1770+2142j),(1762+2100j),(1771+2053j),(1806+2004j),(1846+1962j),(1896+1921j),(1966+1886j),(2027+1866j),(2087+1866j),(2139+1873j),(2168+1884j),(2146+1909j),(2227+1937j),(2261+1967j),(2274+2008j),(2276+2044j),(2261+2077j),(2231+2115j),(2200+2143j),(2158+2157j),(2117+2164j),(2086+2163j),(2054+2155j),(2031+2144j),(2010+2125j),(1999+2098j),(2002+2081j),(2001+2066j),(1997+2042j),(2006+2024j),(2014+2004j),(2033+1975j),(2061+1960j),(2093+1954j),(2116+1950j),(2141+1955j),(2165+1969j),(2182+1984j),(2190+2002j),(2042+2045j),(2027+2045j),(2011+2036j),(1971+2030j)
(2063+2040j),(2133+2063j),(2244+2116j),(2345+2222j),(2392+2367j),(2353+2514j),(2255+2639j),(2112+2722j),(1966+2755j),(1822+2758j),(1668+2720j),(1539+2634j),(1453+2522j),(1404+2383j),(1341+2219j),(1357+2030j),(1441+1851j),(1545+1688j),(1706+1541j),(1894+1440j),(2085+1365j),(2289+1339j),(2468+1367j),(2603+1434j),(2702+1536j),(2760+1660j),(2769+1798j),(2727+1954j),(2646+2095j),(2521+2216j),(2369+2314j),(2210+2383j),(2030+2413j),(1864+2407j),(1719+2359j),(1611+2269j),(1552+2162j),(1527+2048j),(1538+1915j),(1600+1792j),(1702+1687j),(1815+1597j),(1956+1536j),(2107+1515j),(2229+1518j),(2351+1547j),(2035+2048j),(1979+2074j),(1897+2109j),(1792+2176j)
(2054+2058j),(2062+2102j),(2065+2179j),(2027+2285j),(1960+2382j),(1844+2440j),(1747+2454j),(1676+2431j),(1622+2392j),(1586+2342j),(1556+2273j),(1555+2176j),(1580+2079j),(1641+1970j),(1724+1866j),(1829+1793j),(1940+1732j),(2048+1682j),(2176+1654j),(2289+1659j),(2380+1671j),(2470+1710j),(2543+1771j),(2582+1840j),(2594+1941j),(2565+2034j),(2511+2116j),(2439+2195j),(2353+2259j),(2240+2304j),(2130+2327j),(2028+2337j),(1917+2315j),(1833+2274j),(1772+2214j),(1726+2131j),(1727+2041j),(1752+1954j),(1812+1866j),(1880+1803j),(1965+1749j),(2051+1703j),(2159+1686j),(2259+1694j),(2341+1719j),(2415+1771j),(2039+2038j),(1997+2038j),(1929+2044j),(1838+2065j)
