0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
(2051+2050j),(2046+2047j),(2047+2043j),(2060+2051j),(2052+2050j),(2050+2049j),(2052+2053j),(2049+2049j),(2046+2045j),(2057+2049j),(2055+2052j),(2051+2046j),(2058+2051j),(2051+2054j),(2047+2050j),(2047+2050j),(2051+2047j),(2054+2048j),(2055+2049j),(2054+2049j),(2051+2053j),(2047+2056j),(2044+2048j),(2042+2048j),(2048+2051j),(2049+2048j),(2049+2045j),(2054+2051j),(2046+2053j),(2045+2047j),(2045+2049j),(2053+2047j),(2055+2049j),(2052+2056j),(2051+2055j),(2050+2055j),(2050+2053j),(2050+2050j),(2051+2051j),(2055+2053j),(2055+2051j),(2053+2052j),(2052+2056j),(2046+2052j),(2044+2046j),(2047+2048j),(2047+2046j),(2047+2047j),(2046+2048j),(2047+2051j)
(2050+2045j),(2054+2043j),(2066+2049j),(2064+2052j),(2058+2057j),(2056+2062j),(2050+2060j),(2044+2055j),(2050+2058j),(2044+2059j),(2041+2057j),(2042+2061j),(2032+2059j),(2027+2053j),(2032+2051j),(2034+2046j),(2036+2043j),(2042+2046j),(2040+2049j),(2039+2045j),(2044+2046j),(2047+2046j),(2045+2042j),(2053+2039j),(2059+2044j),(2054+2048j),(2052+2053j),(2048+2055j),(2047+2051j),(2046+2048j),(2050+2049j),(2048+2050j),(2050+2052j),(2047+2056j),(2040+2052j),(2037+2048j),(2036+2043j),(2043+2034j),(2050+2035j),(2055+2040j),(2051+2037j),(2048+2037j),(2051+2037j),(2052+2031j),(2054+2032j),(2061+2037j),(2047+2052j),(2044+2048j),(2036+2047j),(2039+2055j)
(2048+2049j),(2045+2050j),(2045+2048j),(2051+2054j),(2049+2055j),(2043+2057j),(2045+2061j),(2040+2063j),(2035+2058j),(2039+2059j),(2036+2057j),(2032+2054j),(2032+2056j),(2028+2051j),(2030+2046j),(2034+2047j),(2034+2040j),(2038+2036j),(2046+2039j),(2049+2032j),(2051+2033j),(2060+2037j),(2062+2040j),(2063+2042j),(2067+2051j),(2063+2053j),(2060+2052j),(2060+2059j),(2054+2059j),(2049+2059j),(2045+2065j),(2037+2062j),(2032+2057j),(2035+2057j),(2033+2048j),(2031+2039j),(2038+2039j),(2039+2034j),(2040+2028j),(2054+2030j),(2058+2027j),(2059+2025j),(2066+2030j),(2069+2031j),(2066+2032j),(2065+2041j),(2171+2062j),(2046.8478260869565+2046.5652173913043j),(2046.8478260869565+2046.5652173913043j),(2046.8478260869565+2046.5652173913043j)
(2049+2043j),(2051+2038j),(2056+2039j),(2061+2042j),(2064+2044j),(2059+2052j),(2058+2056j),(2059+2053j),(2060+2056j),(2058+2063j),(2058+2063j),(2048+2066j),(2046+2067j),(2037+2060j),(2042+2053j),(2048+2060j),(2034+2059j),(2042+2052j),(2046+2061j),(2041+2059j),(2036+2059j),(2037+2058j),(2030+2052j),(2037+2040j),(2055+2041j),(2053+2046j),(2050+2040j),(2053+2039j),(2057+2037j),(2057+2037j),(2064+2040j),(2064+2044j),(2065+2048j),(2066+2053j),(2062+2063j),(2047+2064j),(2043+2066j),(2044+2066j),(2043+2065j),(2039+2071j),(2027+2071j),(2021+2064j),(2012+2054j),(2019+2046j),(2020+2040j),(2023+2034j),(2045+2047j),(2045+2052j),(2050+2056j),(2048+2065j)
(2049+2047j),(2061+2043j),(2082+2054j),(2090+2065j),(2095+2075j),(2106+2092j),(2097+2116j),(2079+2129j),(2058+2142j),(2028+2138j),(2010+2127j),(2003+2118j),(1991+2109j),(1975+2099j),(1966+2084j),(1960+2061j),(1965+2036j),(1985+2016j),(2003+2002j),(2016+1988j),(2037+1979j),(2062+1973j),(2082+1972j),(2103+1977j),(2122+1989j),(2128+2008j),(2124+2028j),(2115+2043j),(2108+2054j),(2099+2069j),(2084+2081j),(2060+2091j),(2037+2097j),(2016+2092j),(1998+2083j),(1986+2074j),(1980+2059j),(1978+2040j),(1978+2026j),(1984+2010j),(1995+1991j),(2012+1977j),(2035+1967j),(2061+1961j),(2079+1965j),(2096+1974j),(2052+2045j),(2043+2045j),(2028+2048j),(2004+2061j)
(2048+2048j),(2028+2071j),(2006+2085j),(1975+2108j),(1934+2112j),(1906+2106j),(1889+2086j),(1886+2070j),(1885+2047j),(1901+2019j),(1918+1996j),(1952+1967j),(1988+1954j),(2017+1936j),(2066+1926j),(2108+1935j),(2146+1945j),(2171+1975j),(2183+2000j),(2193+2026j),(2189+2056j),(2174+2079j),(2162+2106j),(2131+2130j),(2094+2142j),(2057+2146j),(2031+2138j),(2011+2131j),(1991+2112j),(1991+2095j),(1983+2084j),(1986+2055j),(1998+2036j),(2012+2020j),(2036+2000j),(2060+1990j),(2093+1994j),(2114+2004j),(2125+2016j),(2130+2033j),(2125+2045j),(2117+2055j),(2106+2071j),(2091+2068j),(2092+2070j),(2090+2081j),(2262+2002j),(2047.5869565217392+2047.1521739130435j),(2047.5869565217392+2047.1521739130435j),(2047.5869565217392+2047.1521739130435j)
(2048+2048j),(2053+2044j),(2059+2030j),(2069+2018j),(2082+2005j),(2103+1987j),(2124+1981j),(2147+1988j),(2156+2002j),(2157+2023j),(2147+2046j),(2128+2056j),(2120+2065j),(2114+2083j),(2094+2096j),(2072+2105j),(2057+2115j),(2032+2123j),(2007+2119j),(1991+2114j),(1977+2107j),(1965+2092j),(1966+2084j),(1961+2075j),(1957+2059j),(1958+2043j),(1966+2028j),(1980+2015j),(1992+2006j),(2009+1995j),(2023+1991j),(2041+1989j),(2053+1995j),(2060+1998j),(2074+2004j),(2082+2017j),(2087+2023j),(2093+2039j),(2092+2058j),(2080+2068j),(2070+2081j),(2054+2092j),(2042+2092j),(2030+2090j),(2024+2097j),(2004+2099j),(2047+2043j),(2061+2037j),(2070+2022j),(2071+2012j)
(2051+2042j),(2051+2046j),(2055+2057j),(2047+2069j),(2040+2073j),(2039+2078j),(2038+2084j),(2034+2087j),(2032+2093j),(2024+2100j),(2016+2093j),(2006+2091j),(2004+2088j),(1998+2077j),(1996+2065j),(2011+2062j),(2004+2063j),(1996+2055j),(1993+2046j),(1990+2026j),(2002+2003j),(2023+1993j),(2036+1985j),(2050+1979j),(2068+1979j),(2084+1975j),(2106+1979j),(2126+1997j),(2127+2002j),(2132+2012j),(2147+2035j),(2141+2059j),(2119+2081j),(2096+2099j),(2068+2101j),(2049+2096j),(2038+2103j),(2017+2102j),(1992+2092j),(1979+2080j),(1967+2058j),(1970+2029j),(1988+2011j),(2002+1995j),(2018+1983j),(2040+1977j),(2048+2046j),(2043+2052j),(2036+2064j),(2039+2088j)
(2048+2048j),(2066+2055j),(2078+2065j),(2086+2103j),(2065+2135j),(2042+2156j),(2015+2162j),(2032+2177j),(2044+2184j),(2046+2172j),(2037+2170j),(1953+2142j),(1924+2113j),(1909+2085j),(1910+2053j),(1922+2024j),(1948+1992j),(1960+1980j),(1982+1950j),(2018+1926j),(2054+1914j),(2082+1902j),(2132+1903j),(2149+1924j),(2166+1930j),(2188+1947j),(2198+1969j),(2205+1994j),(2188+2021j),(2194+2046j),(2172+2073j),(2160+2090j),(2134+2130j),(2091+2154j),(2046+2155j),(2009+2157j),(1984+2148j),(1947+2139j),(1923+2116j),(1904+2078j),(1907+2041j),(1913+2006j),(1933+1974j),(1952+1941j),(1995+1918j),(2034+1899j),(2245+1186j),(2037.9347826086957+2049.1521739130435j),(2037.9347826086957+2049.1521739130435j),(2037.9347826086957+2049.1521739130435j)
(2048+2048j),(2055+2057j),(2050+2070j),(2042+2093j),(2012+2105j),(1994+2105j),(1982+2105j),(1972+2091j),(1964+2081j),(1965+2068j),(1966+2049j),(1974+2029j),(1990+2019j),(2004+2005j),(2017+1987j),(2041+1977j),(2065+1968j),(2090+1968j),(2113+1977j),(2124+1990j),(2133+2004j),(2138+2015j),(2148+2025j),(2150+2045j),(2149+2072j),(2129+2097j),(2096+2113j),(2071+2125j),(2042+2128j),(2019+2120j),(2005+2116j),(1994+2105j),(1977+2093j),(1963+2078j),(1962+2054j),(1973+2025j),(1993+2001j),(2017+1982j),(2048+1968j),(2078+1964j),(2107+1968j),(2124+1972j),(2147+1986j),(2157+2007j),(2157+2026j),(2153+2053j),(2050+2051j),(2057+2042j),(2055+2022j),(2051+1999j)
