0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
(2088+1975j),(2363+1861j),(2524+2145j),(2475+2312j),(2211+2281j),(2417+1815j),(2873+2041j),(2699+2274j),(2534+2135j),(2648+1948j),(2770+1872j),(3077+1926j),(3056+2140j),(3098+2214j),(2905+2392j),(2784+2184j),(3074+2100j),(3110+2497j),(2824+2609j),(2544+2582j),(2531+2361j),(2515+2480j),(2441+2432j),(2332+2500j),(2139+2536j),(1819+2344j),(1962+1993j),(2212+2096j),(2001+2261j),(1872+2067j),(1896+1980j),(1976+1914j),(1992+1923j),(2123+1905j),(2121+2118j),(1812+2102j),(1883+1815j),(2229+1888j),(2134+2260j),(1842+2258j),(1813+2169j),(1760+2202j),(1673+2185j),(1653+2105j),(1688+2161j),(1464+2301j),(2086+2020j),(2343+1898j),(2410+1691j),(2332+1634j)
(2097+1964j),(2371+1854j),(2531+2152j),(2485+2314j),(2224+2269j),(2455+1801j),(2912+2040j),(2736+2265j),(2573+2138j),(2689+1955j),(2805+1874j),(3113+1947j),(3077+2160j),(3121+2235j),(2910+2429j),(2779+2219j),(3052+2136j),(3081+2535j),(2788+2634j),(2496+2600j),(2491+2375j),(2468+2486j),(2391+2441j),(2283+2504j),(2098+2517j),(1786+2323j),(1938+1971j),(2199+2065j),(1980+2240j),(1874+2052j),(1909+1960j),(1989+1917j),(2005+1931j),(2136+1908j),(2121+2139j),(1824+2133j),(1885+1836j),(2225+1926j),(2129+2295j),(1820+2276j),(1784+2190j),(1731+2213j),(1651+2176j),(1624+2105j),(1673+2147j),(1444+2282j),(2096+2038j),(2337+1915j),(2401+1698j),(2320+1642j)
(2093+1955j),(2369+1842j),(2540+2129j),(2501+2262j),(2264+2231j),(2474+1756j),(2965+1969j),(2820+2226j),(2650+2110j),(2766+1931j),(2888+1876j),(3188+1946j),(3149+2187j),(3178+2288j),(2949+2480j),(2791+2283j),(3037+2202j),(3061+2570j),(2750+2681j),(2448+2652j),(2416+2392j),(2402+2485j),(2340+2435j),(2231+2476j),(2050+2492j),(1759+2318j),(1904+1937j),(2191+2029j),(2002+2230j),(1876+2030j),(1918+1957j),(2018+1927j),(2031+1940j),(2147+1943j),(2147+2181j),(1828+2180j),(1863+1901j),(2198+1978j),(2090+2325j),(1763+2321j),(1728+2218j),(1662+2214j),(1584+2174j),(1572+2093j),(1620+2105j),(1402+2248j),(1147+1925j),(2296.1521739130435+2176.195652173913j),(2296.1521739130435+2176.195652173913j),(2296.1521739130435+2176.195652173913j)
(2104+1943j),(2373+1825j),(2534+2112j),(2502+2251j),(2263+2211j),(2482+1732j),(2964+1957j),(2825+2202j),(2664+2097j),(2771+1928j),(2900+1870j),(3193+1958j),(3140+2195j),(3172+2290j),(2940+2486j),(2790+2289j),(3045+2216j),(3057+2600j),(2736+2696j),(2432+2658j),(2407+2406j),(2382+2500j),(2312+2442j),(2208+2484j),(2034+2486j),(1735+2306j),(1896+1934j),(2178+2020j),(1994+2215j),(1882+2026j),(1931+1936j),(2037+1914j),(2048+1948j),(2164+1937j),(2160+2186j),(1847+2192j),(1884+1907j),(2206+1999j),(2091+2356j),(1763+2331j),(1717+2236j),(1650+2236j),(1568+2182j),(1550+2103j),(1608+2113j),(1400+2238j),(2119+2012j),(2340+1898j),(2365+1709j),(2293+1688j)
(2079+1954j),(2351+1836j),(2512+2122j),(2469+2261j),(2236+2212j),(2469+1735j),(2950+1962j),(2812+2207j),(2654+2102j),(2762+1931j),(2890+1871j),(3194+1958j),(3140+2202j),(3171+2297j),(2937+2488j),(2791+2288j),(3045+2214j),(3056+2600j),(2732+2695j),(2434+2654j),(2412+2398j),(2392+2496j),(2325+2436j),(2220+2484j),(2041+2488j),(1748+2301j),(1907+1936j),(2181+2024j),(1996+2212j),(1890+2032j),(1932+1952j),(2031+1924j),(2048+1958j),(2166+1949j),(2150+2197j),(1836+2196j),(1881+1907j),(2202+2003j),(2082+2360j),(1761+2330j),(1716+2231j),(1648+2235j),(1567+2166j),(1553+2097j),(1604+2118j),(1393+2231j),(2080+2033j),(2320+1924j),(2372+1726j),(2299+1687j)
(2110+1950j),(2367+1833j),(2542+2081j),(2516+2200j),(2315+2153j),(2546+1673j),(3062+1901j),(2947+2170j),(2784+2085j),(2880+1932j),(2998+1899j),(3281+1988j),(3219+2260j),(3224+2365j),(2965+2568j),(2770+2378j),(2988+2280j),(2990+2643j),(2650+2729j),(2346+2675j),(2308+2392j),(2304+2473j),(2239+2389j),(2157+2417j),(1998+2422j),(1730+2234j),(1910+1864j),(2220+1960j),(2066+2175j),(1942+2009j),(1998+1962j),(2090+1950j),(2090+1998j),(2189+2012j),(2164+2255j),(1814+2274j),(1821+1989j),(2127+2056j),(1987+2406j),(1657+2362j),(1610+2230j),(1549+2212j),(1486+2128j),(1490+2037j),(1560+2043j),(1384+2160j),(1155+1844j),(2291.086956521739+2177.6521739130435j),(2291.086956521739+2177.6521739130435j),(2291.086956521739+2177.6521739130435j)
(2098+1934j),(2363+1830j),(2529+2077j),(2515+2199j),(2320+2141j),(2576+1664j),(3097+1908j),(2976+2186j),(2818+2106j),(2923+1966j),(3036+1939j),(3298+2043j),(3221+2315j),(3212+2419j),(2940+2609j),(2746+2416j),(2949+2314j),(2932+2659j),(2586+2736j),(2282+2651j),(2267+2353j),(2278+2432j),(2230+2348j),(2157+2366j),(2023+2385j),(1758+2194j),(1960+1830j),(2273+1963j),(2108+2174j),(1991+2013j),(2049+1989j),(2136+1995j),(2104+2052j),(2189+2081j),(2128+2314j),(1762+2301j),(1779+2006j),(2073+2062j),(1918+2385j),(1602+2332j),(1565+2182j),(1511+2152j),(1478+2068j),(1501+1978j),(1569+1986j),(1412+2106j),(2096+2012j),(2304+1913j),(2329+1753j),(2231+1720j)
(2068+1969j),(2360+1836j),(2531+2055j),(2544+2143j),(2374+2052j),(2693+1594j),(3232+1850j),(3112+2153j),(2963+2100j),(3064+1976j),(3160+1978j),(3408+2113j),(3299+2391j),(3244+2506j),(2946+2703j),(2719+2500j),(2885+2404j),(2832+2727j),(2467+2766j),(2144+2646j),(2155+2325j),(2161+2384j),(2124+2282j),(2081+2276j),(1970+2282j),(1739+2094j),(1977+1741j),(2308+1896j),(2144+2136j),(2053+1991j),(2111+1993j),(2185+2039j),(2131+2118j),(2187+2154j),(2087+2405j),(1701+2374j),(1699+2076j),(1958+2126j),(1791+2405j),(1476+2320j),(1451+2146j),(1419+2095j),(1400+1994j),(1452+1896j),(1546+1897j),(1410+2023j),(2136+2016j),(2295+1904j),(2283+1752j),(2153+1734j)
(2112+1969j),(2397+1836j),(2552+2048j),(2571+2143j),(2424+2065j),(2734+1613j),(3240+1894j),(3124+2187j),(2960+2122j),(3052+2002j),(3158+2000j),(3385+2135j),(3246+2400j),(3207+2499j),(2909+2681j),(2685+2473j),(2870+2367j),(2816+2688j),(2463+2721j),(2167+2601j),(2188+2291j),(2184+2367j),(2155+2261j),(2108+2260j),(1999+2276j),(1771+2092j),(2015+1754j),(2333+1925j),(2159+2167j),(2052+2018j),(2100+2021j),(2161+2055j),(2098+2124j),(2157+2151j),(2063+2390j),(1675+2356j),(1680+2045j),(1955+2099j),(1779+2378j),(1494+2283j),(1485+2121j),(1452+2088j),(1438+1988j),(1487+1903j),(1586+1914j),(1441+2038j),(2100+2041j),(2297+1916j),(2296+1740j),(2175+1708j)
(2057+1976j),(2328+1842j),(2541+2062j),(2584+2176j),(2433+2125j),(2694+1692j),(3241+1938j),(3122+2241j),(2936+2200j),(3010+2066j),(3092+2042j),(3329+2148j),(3219+2419j),(3165+2474j),(2906+2671j),(2673+2478j),(2843+2330j),(2848+2655j),(2506+2712j),(2206+2604j),(2206+2292j),(2243+2376j),(2182+2269j),(2137+2283j),(2038+2307j),(1780+2143j),(1976+1791j),(2315+1913j),(2152+2172j),(2018+2034j),(2077+2025j),(2123+2041j),(2069+2117j),(2128+2117j),(2060+2345j),(1692+2346j),(1678+2024j),(1965+2054j),(1831+2352j),(1538+2285j),(1506+2118j),(1485+2090j),(1464+2001j),(1490+1926j),(1583+1935j),(1459+2067j),(2094+2020j),(2295+1918j),(2306+1745j),(2187+1709j)
