0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
(2100+2006j),(2264+2052j),(2374+2346j),(2464+2550j),(2241+2791j),(2326+2507j),(2592+2822j),(2192+2979j),(1986+2748j),(2038+2472j),(2153+2361j),(2233+2373j),(2102+2195j),(2316+2007j),(2338+2029j),(2381+1745j),(2796+1590j),(3062+1883j),(2951+1997j),(2913+1948j),(3140+1930j),(3122+2250j),(2964+2279j),(2955+2323j),(2828+2588j),(2386+2546j),(2410+2294j),(2465+2442j),(2088+2604j),(1777+2314j),(1801+2089j),(1844+2068j),(1672+1925j),(1805+1688j),(1956+1776j),(1773+1735j),(1894+1431j),(2308+1472j),(2333+1782j),(2136+1797j),(2281+1749j),(2370+1911j),(2260+2106j),(2122+2102j),(2172+2209j),(1853+2452j),(1530+2181j),(2316.021739130435+2157.891304347826j),(2316.021739130435+2157.891304347826j),(2316.021739130435+2157.891304347826j)
(2104+2011j),(2282+2056j),(2410+2327j),(2528+2538j),(2338+2788j),(2426+2516j),(2693+2850j),(2306+3030j),(2078+2811j),(2115+2547j),(2215+2444j),(2262+2453j),(2100+2284j),(2285+2088j),(2280+2086j),(2306+1790j),(2710+1603j),(2972+1863j),(2870+1964j),(2848+1901j),(3088+1857j),(3098+2180j),(2965+2198j),(2979+2241j),(2868+2524j),(2450+2492j),(2474+2272j),(2524+2444j),(2146+2620j),(1815+2348j),(1825+2140j),(1845+2116j),(1656+1980j),(1763+1752j),(1889+1816j),(1682+1774j),(1788+1449j),(2200+1449j),(2232+1745j),(2051+1744j),(2210+1661j),(2323+1825j),(2245+2027j),(2132+2020j),(2199+2160j),(1904+2417j),(2118+2005j),(2369+1857j),(2423+1534j),(2347+1456j)
(2112+2004j),(2289+2039j),(2425+2310j),(2561+2530j),(2390+2779j),(2486+2527j),(2756+2873j),(2357+3054j),(2112+2847j),(2137+2588j),(2221+2483j),(2248+2501j),(2076+2334j),(2242+2118j),(2227+2110j),(2250+1804j),(2648+1592j),(2911+1848j),(2819+1932j),(2808+1851j),(3063+1815j),(3092+2132j),(2968+2151j),(2999+2211j),(2899+2506j),(2480+2482j),(2505+2283j),(2553+2461j),(2157+2644j),(1814+2382j),(1820+2171j),(1818+2151j),(1623+2013j),(1722+1773j),(1841+1828j),(1638+1786j),(1749+1438j),(2166+1437j),(2211+1725j),(2040+1704j),(2208+1624j),(2345+1788j),(2279+1989j),(2171+1990j),(2245+2140j),(1949+2393j),(2108+2005j),(2366+1857j),(2418+1520j),(2330+1449j)
(2104+2007j),(2290+2045j),(2427+2311j),(2569+2517j),(2413+2779j),(2508+2535j),(2781+2884j),(2394+3087j),(2132+2886j),(2148+2622j),(2232+2526j),(2252+2539j),(2062+2370j),(2222+2148j),(2210+2135j),(2216+1820j),(2617+1596j),(2888+1837j),(2800+1910j),(2806+1825j),(3067+1787j),(3100+2116j),(2982+2131j),(3025+2192j),(2929+2496j),(2512+2477j),(2536+2278j),(2581+2460j),(2185+2644j),(1833+2385j),(1827+2178j),(1817+2151j),(1613+2012j),(1704+1776j),(1819+1816j),(1618+1764j),(1728+1416j),(2141+1406j),(2185+1683j),(2025+1668j),(2201+1586j),(2340+1753j),(2281+1968j),(2170+1974j),(2243+2128j),(1962+2384j),(1644+2150j),(2315.108695652174+2152.3478260869565j),(2315.108695652174+2152.3478260869565j),(2315.108695652174+2152.3478260869565j)
(2114+2019j),(2296+2060j),(2412+2345j),(2538+2536j),(2372+2780j),(2476+2534j),(2742+2872j),(2347+3066j),(2095+2857j),(2131+2581j),(2230+2487j),(2264+2519j),(2078+2339j),(2251+2117j),(2246+2119j),(2260+1801j),(2676+1595j),(2932+1863j),(2829+1928j),(2836+1845j),(3101+1822j),(3115+2142j),(2983+2166j),(3017+2225j),(2894+2510j),(2472+2476j),(2502+2277j),(2537+2445j),(2134+2626j),(1805+2357j),(1816+2137j),(1812+2127j),(1627+1982j),(1722+1734j),(1839+1794j),(1655+1742j),(1781+1402j),(2192+1437j),(2224+1723j),(2056+1702j),(2217+1638j),(2359+1802j),(2280+2010j),(2158+2018j),(2221+2163j),(1920+2394j),(2100+2002j),(2350+1859j),(2401+1542j),(2336+1475j)
(2094+2004j),(2265+2060j),(2355+2354j),(2443+2512j),(2268+2743j),(2363+2464j),(2647+2772j),(2272+2960j),(2052+2738j),(2115+2454j),(2253+2376j),(2314+2416j),(2150+2252j),(2356+2062j),(2372+2091j),(2386+1808j),(2800+1647j),(3044+1940j),(2904+2033j),(2888+1963j),(3118+1935j),(3094+2261j),(2938+2278j),(2946+2309j),(2805+2578j),(2379+2523j),(2410+2274j),(2461+2426j),(2094+2583j),(1789+2286j),(1832+2065j),(1875+2059j),(1705+1926j),(1827+1704j),(1968+1786j),(1786+1752j),(1908+1453j),(2300+1506j),(2307+1802j),(2108+1808j),(2234+1748j),(2333+1903j),(2217+2113j),(2066+2094j),(2109+2196j),(1809+2408j),(2097+2013j),(2344+1882j),(2400+1594j),(2365+1540j)
(2097+2016j),(2229+2056j),(2282+2339j),(2344+2472j),(2180+2690j),(2224+2378j),(2553+2652j),(2208+2838j),(1992+2596j),(2097+2312j),(2283+2237j),(2368+2294j),(2237+2176j),(2456+1998j),(2478+2072j),(2487+1836j),(2875+1689j),(3107+2016j),(2935+2146j),(2885+2075j),(3064+2053j),(3039+2358j),(2850+2365j),(2817+2377j),(2700+2602j),(2272+2542j),(2296+2258j),(2390+2373j),(2062+2522j),(1777+2238j),(1857+2007j),(1944+2010j),(1789+1920j),(1919+1706j),(2078+1808j),(1900+1812j),(1995+1542j),(2364+1610j),(2350+1925j),(2119+1948j),(2192+1873j),(2268+2001j),(2144+2185j),(1963+2152j),(2001+2198j),(1736+2378j),(1444+2118j),(2308.7608695652175+2166.3260869565215j),(2308.7608695652175+2166.3260869565215j),(2308.7608695652175+2166.3260869565215j)
(2089+2007j),(2236+2068j),(2232+2345j),(2266+2459j),(2048+2635j),(2160+2275j),(2453+2558j),(2127+2691j),(1980+2419j),(2148+2148j),(2364+2114j),(2452+2186j),(2367+2054j),(2628+1950j),(2630+2043j),(2674+1837j),(3064+1772j),(3220+2136j),(3002+2271j),(2928+2214j),(3078+2201j),(2963+2499j),(2770+2481j),(2712+2457j),(2545+2665j),(2144+2536j),(2206+2229j),(2297+2351j),(1984+2461j),(1755+2134j),(1875+1929j),(1986+1955j),(1854+1845j),(2026+1682j),(2175+1825j),(1992+1829j),(2108+1607j),(2446+1720j),(2375+2038j),(2121+2063j),(2177+1988j),(2210+2117j),(2051+2287j),(1875+2208j),(1892+2247j),(1606+2390j),(2104+2004j),(2330+1895j),(2380+1657j),(2394+1660j)
(2091+2014j),(2206+2050j),(2178+2297j),(2194+2372j),(1980+2474j),(2129+2079j),(2480+2341j),(2200+2454j),(2102+2206j),(2306+1969j),(2526+1955j),(2651+2070j),(2588+2004j),(2839+1939j),(2836+2116j),(2842+1980j),(3154+1942j),(3260+2339j),(2988+2482j),(2834+2398j),(2946+2362j),(2822+2633j),(2582+2562j),(2522+2509j),(2375+2667j),(1985+2486j),(2089+2163j),(2230+2250j),(1960+2351j),(1779+2052j),(1940+1862j),(2068+1908j),(1958+1847j),(2141+1713j),(2265+1888j),(2082+1944j),(2155+1748j),(2442+1864j),(2355+2206j),(2053+2232j),(2046+2126j),(2062+2226j),(1898+2349j),(1694+2235j),(1735+2237j),(1491+2344j),(2097+2014j),(2325+1924j),(2377+1702j),(2368+1743j)
(2081+2010j),(2183+2014j),(2165+2224j),(2169+2230j),(2010+2294j),(2153+1850j),(2593+2061j),(2395+2218j),(2329+2009j),(2540+1812j),(2786+1847j),(2935+2004j),(2850+2030j),(3069+2017j),(3039+2263j),(2945+2185j),(3164+2155j),(3229+2533j),(2880+2686j),(2648+2586j),(2710+2477j),(2581+2700j),(2318+2579j),(2262+2465j),(2171+2560j),(1825+2381j),(1961+2016j),(2184+2083j),(1999+2223j),(1847+1963j),(2044+1816j),(2209+1896j),(2104+1914j),(2252+1820j),(2366+2024j),(2142+2133j),(2129+1955j),(2370+2041j),(2258+2380j),(1896+2406j),(1830+2238j),(1840+2277j),(1685+2346j),(1496+2195j),(1580+2133j),(1404+2221j),(1173+1908j),(2296.217391304348+2179.782608695652j),(2296.217391304348+2179.782608695652j),(2296.217391304348+2179.782608695652j)
