0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
(2098+1979j),(2311+1899j),(2580+2081j),(2792+2324j),(2689+2589j),(2681+2388j),(2940+2624j),(2697+2794j),(2520+2723j),(2484+2581j),(2392+2524j),(2437+2400j),(2371+2306j),(2523+2199j),(2404+2251j),(2372+1986j),(2632+1788j),(2859+1974j),(2809+2000j),(2803+2045j),(2886+2011j),(2852+2220j),(2780+2182j),(2806+2268j),(2692+2513j),(2275+2503j),(2272+2309j),(2250+2368j),(2009+2477j),(1784+2264j),(1769+2162j),(1681+2135j),(1513+1900j),(1760+1665j),(1862+1805j),(1740+1752j),(1808+1532j),(2174+1548j),(2184+1802j),(2084+1798j),(2235+1863j),(2196+2068j),(2028+2156j),(1954+2106j),(2038+2216j),(1745+2473j),(1437+2274j),(2321.108695652174+2164.1521739130435j),(2321.108695652174+2164.1521739130435j),(2321.108695652174+2164.1521739130435j)
(2093+1965j),(2322+1880j),(2589+2037j),(2811+2290j),(2736+2554j),(2728+2337j),(2998+2586j),(2788+2769j),(2600+2692j),(2572+2576j),(2488+2538j),(2512+2424j),(2427+2357j),(2565+2265j),(2408+2313j),(2343+2057j),(2589+1843j),(2785+2012j),(2716+2033j),(2712+2052j),(2788+1996j),(2756+2197j),(2702+2130j),(2730+2186j),(2653+2429j),(2269+2410j),(2281+2218j),(2300+2302j),(2087+2429j),(1864+2244j),(1853+2177j),(1767+2171j),(1576+1957j),(1814+1754j),(1884+1910j),(1712+1856j),(1757+1627j),(2098+1627j),(2066+1864j),(1964+1821j),(2123+1845j),(2076+2038j),(1932+2090j),(1895+2017j),(1994+2128j),(1725+2349j),(2105+2012j),(2356+1892j),(2408+1570j),(2268+1514j)
(2098+1961j),(2330+1875j),(2600+2032j),(2809+2286j),(2729+2538j),(2756+2328j),(3012+2583j),(2804+2768j),(2619+2704j),(2597+2582j),(2512+2551j),(2536+2450j),(2436+2378j),(2559+2295j),(2395+2348j),(2312+2085j),(2556+1862j),(2740+2036j),(2662+2033j),(2660+2037j),(2754+1970j),(2717+2162j),(2679+2093j),(2727+2150j),(2648+2394j),(2277+2365j),(2322+2184j),(2350+2278j),(2143+2420j),(1936+2254j),(1918+2209j),(1815+2222j),(1614+2016j),(1830+1824j),(1867+1987j),(1677+1926j),(1712+1680j),(2034+1683j),(1982+1898j),(1875+1827j),(2041+1829j),(2006+2001j),(1877+2032j),(1866+1937j),(1998+2060j),(1756+2288j),(2100+2012j),(2352+1891j),(2374+1567j),(2206+1529j)
(2090+1976j),(2282+1877j),(2548+2026j),(2758+2274j),(2682+2514j),(2661+2309j),(2956+2531j),(2758+2712j),(2578+2647j),(2573+2527j),(2504+2500j),(2532+2402j),(2459+2360j),(2584+2253j),(2450+2341j),(2356+2119j),(2570+1879j),(2774+2051j),(2695+2081j),(2676+2084j),(2744+2021j),(2735+2225j),(2648+2136j),(2688+2178j),(2647+2407j),(2266+2390j),(2291+2185j),(2350+2263j),(2163+2400j),(1946+2238j),(1957+2191j),(1867+2204j),(1664+2027j),(1877+1824j),(1938+1996j),(1730+1965j),(1746+1727j),(2055+1714j),(2005+1940j),(1877+1874j),(2023+1861j),(1984+2026j),(1845+2045j),(1817+1936j),(1957+2033j),(1724+2248j),(1490+2042j),(2305+2163.413043478261j),(2305+2163.413043478261j),(2305+2163.413043478261j)
(2080+1965j),(2285+1869j),(2528+2020j),(2711+2238j),(2620+2446j),(2668+2200j),(2951+2425j),(2782+2598j),(2632+2545j),(2648+2428j),(2596+2426j),(2638+2373j),(2551+2325j),(2691+2278j),(2526+2386j),(2404+2154j),(2630+1943j),(2792+2150j),(2671+2153j),(2631+2154j),(2700+2084j),(2634+2257j),(2571+2155j),(2629+2178j),(2559+2401j),(2199+2350j),(2271+2151j),(2323+2234j),(2134+2382j),(1958+2201j),(1969+2175j),(1875+2219j),(1688+2016j),(1908+1850j),(1942+2052j),(1728+1997j),(1746+1754j),(2053+1787j),(1970+1983j),(1843+1896j),(1994+1908j),(1936+2048j),(1789+2057j),(1796+1948j),(1935+2048j),(1670+2257j),(2095+2022j),(2334+1914j),(2367+1610j),(2202+1580j)
(2089+1973j),(2260+1896j),(2446+2063j),(2568+2284j),(2418+2489j),(2385+2204j),(2676+2374j),(2522+2496j),(2401+2393j),(2474+2251j),(2475+2233j),(2575+2143j),(2572+2112j),(2780+2060j),(2696+2212j),(2623+2052j),(2861+1884j),(3053+2137j),(2943+2223j),(2875+2284j),(2893+2249j),(2795+2469j),(2662+2369j),(2673+2394j),(2560+2620j),(2144+2545j),(2158+2301j),(2195+2335j),(1994+2417j),(1820+2185j),(1869+2120j),(1810+2108j),(1661+1891j),(1942+1701j),(2049+1881j),(1880+1871j),(1934+1672j),(2264+1711j),(2206+1975j),(2082+1957j),(2205+1991j),(2121+2185j),(1945+2238j),(1881+2131j),(1958+2242j),(1676+2439j),(2087+2025j),(2359+1912j),(2427+1587j),(2304+1541j)
(2082+1990j),(2230+1926j),(2419+2149j),(2523+2420j),(2329+2677j),(2207+2426j),(2464+2575j),(2250+2663j),(2106+2533j),(2154+2331j),(2160+2246j),(2284+2094j),(2326+2013j),(2582+1872j),(2608+2011j),(2606+1848j),(2890+1680j),(3167+1947j),(3121+2068j),(3088+2181j),(3120+2193j),(3058+2467j),(2874+2416j),(2870+2481j),(2744+2730j),(2264+2702j),(2203+2467j),(2180+2468j),(1932+2531j),(1705+2258j),(1753+2117j),(1699+2064j),(1558+1836j),(1851+1568j),(2020+1720j),(1913+1718j),(1992+1513j),(2361+1538j),(2387+1832j),(2278+1852j),(2410+1918j),(2360+2164j),(2167+2263j),(2064+2212j),(2122+2341j),(1824+2582j),(1458+2377j),(2332.717391304348+2165.2391304347825j),(2332.717391304348+2165.2391304347825j),(2332.717391304348+2165.2391304347825j)
(2066+1989j),(2247+1943j),(2422+2191j),(2499+2496j),(2255+2778j),(2158+2504j),(2342+2686j),(2108+2747j),(1960+2587j),(1998+2364j),(2002+2257j),(2141+2080j),(2186+1944j),(2503+1810j),(2536+1912j),(2597+1733j),(2929+1597j),(3200+1872j),(3185+1996j),(3169+2131j),(3235+2160j),(3128+2458j),(2986+2410j),(2982+2500j),(2805+2777j),(2325+2728j),(2268+2520j),(2204+2541j),(1917+2589j),(1708+2270j),(1749+2134j),(1693+2069j),(1559+1801j),(1875+1553j),(2025+1698j),(1929+1659j),(2034+1458j),(2415+1506j),(2421+1790j),(2334+1806j),(2487+1889j),(2421+2146j),(2221+2242j),(2134+2205j),(2171+2365j),(1817+2584j),(2100+2015j),(2388+1888j),(2481+1532j),(2379+1437j)
(2081+1978j),(2252+1926j),(2423+2178j),(2498+2473j),(2260+2770j),(2142+2493j),(2332+2677j),(2099+2737j),(1954+2576j),(1991+2351j),(2014+2240j),(2158+2060j),(2206+1935j),(2541+1795j),(2581+1910j),(2645+1749j),(2959+1628j),(3228+1886j),(3206+2021j),(3179+2162j),(3225+2177j),(3113+2478j),(2971+2422j),(2958+2508j),(2793+2779j),(2320+2737j),(2253+2509j),(2200+2514j),(1934+2554j),(1735+2226j),(1792+2107j),(1753+2050j),(1612+1802j),(1919+1564j),(2072+1713j),(1966+1688j),(2056+1509j),(2420+1551j),(2410+1833j),(2301+1858j),(2444+1913j),(2371+2163j),(2173+2261j),(2078+2203j),(2116+2320j),(1787+2544j),(2118+2018j),(2397+1872j),(2457+1544j),(2370+1480j)
(2070+1983j),(2241+1914j),(2399+2181j),(2457+2465j),(2185+2713j),(2126+2429j),(2314+2609j),(2084+2641j),(1969+2497j),(2029+2271j),(2057+2158j),(2229+2019j),(2278+1902j),(2614+1792j),(2641+1939j),(2697+1788j),(2980+1684j),(3223+1965j),(3177+2097j),(3099+2221j),(3162+2226j),(3016+2504j),(2882+2420j),(2883+2500j),(2709+2748j),(2244+2678j),(2214+2449j),(2180+2448j),(1924+2489j),(1782+2163j),(1856+2072j),(1824+2043j),(1698+1810j),(2004+1609j),(2122+1784j),(2009+1764j),(2070+1592j),(2397+1654j),(2363+1919j),(2228+1922j),(2353+1971j),(2276+2194j),(2062+2269j),(1965+2180j),(2021+2277j),(1718+2470j),(1412+2231j),(2322.413043478261+2161.3695652173915j),(2322.413043478261+2161.3695652173915j),(2322.413043478261+2161.3695652173915j)
