0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
(2082+1969j),(2274+1864j),(2421+1917j),(2802+1900j),(2964+2129j),(3173+2034j),(3434+2408j),(3221+2592j),(3132+2549j),(3241+2569j),(3110+2806j),(2875+2917j),(2491+2827j),(2528+2640j),(2297+2707j),(2102+2470j),(2168+2212j),(2179+2275j),(2011+2041j),(2148+1801j),(2439+1723j),(2396+1960j),(2404+1745j),(2597+1733j),(2739+1944j),(2592+2034j),(2698+2042j),(2700+2316j),(2360+2506j),(2198+2320j),(2227+2454j),(1984+2608j),(1597+2498j),(1573+2263j),(1536+2261j),(1338+2183j),(1271+1907j),(1504+1810j),(1381+1867j),(1337+1590j),(1674+1424j),(1885+1595j),(1858+1722j),(1842+1624j),(2107+1658j),(2076+1964j),(2106+1995j),(2261+1798j),(2069+1526j),(1848+1588j)
(2067+1965j),(2246+1862j),(2387+1915j),(2753+1862j),(2946+2068j),(3165+1965j),(3454+2328j),(3270+2517j),(3195+2486j),(3313+2514j),(3200+2760j),(2987+2893j),(2584+2842j),(2602+2668j),(2368+2757j),(2144+2546j),(2176+2293j),(2174+2353j),(1976+2123j),(2080+1874j),(2361+1762j),(2324+1984j),(2316+1752j),(2521+1712j),(2678+1911j),(2544+1992j),(2672+1982j),(2708+2254j),(2402+2465j),(2244+2295j),(2292+2442j),(2050+2628j),(1646+2535j),(1612+2301j),(1569+2316j),(1361+2251j),(1264+1986j),(1474+1882j),(1330+1937j),(1256+1651j),(1576+1452j),(1789+1602j),(1772+1702j),(1765+1594j),(2044+1601j),(2042+1905j),(2099+1991j),(2252+1793j),(2044+1538j),(1817+1612j)
(2076+1963j),(2246+1850j),(2370+1896j),(2714+1808j),(2913+1965j),(3178+1860j),(3474+2208j),(3308+2395j),(3266+2383j),(3400+2412j),(3292+2681j),(3110+2859j),(2708+2828j),(2710+2696j),(2466+2823j),(2208+2621j),(2208+2386j),(2168+2471j),(1936+2221j),(2002+1960j),(2273+1837j),(2206+2023j),(2198+1771j),(2417+1709j),(2580+1868j),(2464+1934j),(2629+1915j),(2692+2167j),(2411+2389j),(2299+2236j),(2359+2404j),(2117+2635j),(1722+2562j),(1685+2344j),(1623+2403j),(1404+2347j),(1280+2082j),(1459+2000j),(1298+2039j),(1187+1722j),(1497+1520j),(1690+1638j),(1652+1696j),(1667+1572j),(1970+1551j),(1980+1822j),(1889+1753j),(2272+2140.695652173913j),(2272+2140.695652173913j),(2272+2140.695652173913j)
(2062+1962j),(2234+1842j),(2329+1882j),(2652+1783j),(2843+1910j),(3123+1776j),(3428+2120j),(3292+2300j),(3258+2278j),(3420+2318j),(3338+2596j),(3176+2780j),(2798+2778j),(2815+2689j),(2555+2830j),(2290+2660j),(2280+2453j),(2208+2546j),(1956+2301j),(2000+2054j),(2240+1922j),(2144+2089j),(2131+1825j),(2336+1728j),(2498+1868j),(2401+1911j),(2580+1877j),(2656+2115j),(2417+2332j),(2334+2176j),(2415+2354j),(2196+2610j),(1796+2546j),(1766+2339j),(1704+2429j),(1474+2388j),(1334+2142j),(1494+2089j),(1292+2132j),(1159+1809j),(1451+1606j),(1617+1715j),(1562+1736j),(1588+1591j),(1892+1545j),(1907+1790j),(2081+2007j),(2230+1836j),(2012+1596j),(1769+1723j)
(2062+1983j),(2193+1835j),(2272+1877j),(2550+1754j),(2722+1833j),(2978+1645j),(3356+1953j),(3252+2122j),(3244+2097j),(3456+2131j),(3430+2425j),(3303+2622j),(2985+2691j),(2996+2628j),(2747+2828j),(2478+2733j),(2408+2556j),(2317+2676j),(2019+2490j),(2000+2240j),(2176+2090j),(2087+2258j),(1994+1964j),(2165+1821j),(2359+1911j),(2261+1928j),(2434+1853j),(2565+2043j),(2379+2249j),(2304+2104j),(2454+2268j),(2288+2541j),(1892+2544j),(1862+2346j),(1825+2447j),(1591+2456j),(1431+2253j),(1566+2190j),(1341+2287j),(1151+1988j),(1388+1737j),(1541+1832j),(1464+1835j),(1456+1655j),(1747+1572j),(1798+1781j),(2060+2010j),(2208+1866j),(2006+1650j),(1765+1798j)
(2051+1978j),(2156+1881j),(2137+1956j),(2313+1868j),(2331+1960j),(2533+1682j),(2840+1919j),(2743+2004j),(2784+1878j),(3071+1876j),(3106+2128j),(3084+2259j),(2908+2273j),(3084+2283j),(2924+2513j),(2754+2466j),(2802+2402j),(2714+2624j),(2444+2508j),(2413+2393j),(2530+2325j),(2317+2529j),(2184+2288j),(2264+2138j),(2340+2231j),(2184+2190j),(2320+2058j),(2389+2193j),(2201+2307j),(2180+2074j),(2331+2195j),(2226+2416j),(1905+2350j),(1961+2161j),(1979+2293j),(1782+2297j),(1687+2120j),(1870+2132j),(1654+2260j),(1464+2027j),(1685+1853j),(1772+2008j),(1614+2049j),(1573+1865j),(1806+1809j),(1748+2013j),(1657+1861j),(2286.0434782608695+2152.8695652173915j),(2286.0434782608695+2152.8695652173915j),(2286.0434782608695+2152.8695652173915j)
(2051+1978j),(2132+1895j),(2073+1978j),(2210+1893j),(2168+1970j),(2352+1658j),(2649+1851j),(2565+1893j),(2645+1745j),(2974+1718j),(3052+1969j),(3080+2113j),(2962+2125j),(3183+2175j),(3056+2456j),(2900+2441j),(2953+2429j),(2836+2704j),(2537+2608j),(2463+2515j),(2547+2470j),(2297+2661j),(2119+2418j),(2169+2248j),(2223+2296j),(2056+2209j),(2222+2053j),(2311+2155j),(2138+2236j),(2182+1998j),(2369+2109j),(2302+2347j),(2024+2309j),(2105+2141j),(2137+2313j),(1942+2348j),(1846+2197j),(1991+2247j),(1760+2395j),(1524+2167j),(1702+1996j),(1761+2125j),(1565+2144j),(1497+1940j),(1723+1845j),(1658+2002j),(2083+2017j),(2260+1879j),(2102+1678j),(1939+1847j)
(2057+1994j),(2109+1898j),(2033+1971j),(2165+1881j),(2129+1940j),(2290+1608j),(2629+1784j),(2560+1814j),(2660+1664j),(3024+1654j),(3119+1904j),(3157+2069j),(3055+2123j),(3270+2174j),(3138+2492j),(2965+2519j),(2982+2505j),(2838+2784j),(2527+2709j),(2422+2592j),(2473+2540j),(2217+2718j),(2011+2437j),(2056+2235j),(2136+2252j),(1992+2127j),(2186+1948j),(2333+2047j),(2188+2124j),(2262+1916j),(2471+2046j),(2422+2298j),(2144+2308j),(2214+2170j),(2233+2357j),(2007+2434j),(1881+2315j),(1961+2364j),(1696+2509j),(1421+2273j),(1562+2054j),(1617+2149j),(1438+2136j),(1367+1893j),(1608+1769j),(1597+1901j),(2078+2016j),(2234+1902j),(2066+1730j),(1884+1926j)
(2044+1996j),(2092+1917j),(2024+2011j),(2126+1898j),(2098+1964j),(2223+1640j),(2570+1764j),(2510+1808j),(2630+1651j),(2993+1610j),(3115+1878j),(3184+2041j),(3062+2102j),(3286+2133j),(3211+2473j),(3008+2513j),(3025+2505j),(2918+2796j),(2572+2733j),(2456+2632j),(2492+2577j),(2219+2764j),(1971+2466j),(2032+2238j),(2114+2250j),(1960+2127j),(2163+1919j),(2321+2018j),(2188+2105j),(2264+1873j),(2498+2013j),(2467+2275j),(2204+2305j),(2257+2180j),(2283+2374j),(2059+2461j),(1898+2363j),(1963+2397j),(1696+2541j),(1394+2309j),(1529+2069j),(1591+2148j),(1403+2128j),(1335+1880j),(1576+1722j),(1601+1856j),(1556+1681j),(2274.4565217391305+2161.3695652173915j),(2274.4565217391305+2161.3695652173915j),(2274.4565217391305+2161.3695652173915j)
(2050+1990j),(2131+1901j),(2067+1964j),(2231+1873j),(2228+1950j),(2400+1646j),(2717+1826j),(2657+1875j),(2752+1732j),(3093+1739j),(3164+2005j),(3173+2174j),(3011+2211j),(3226+2236j),(3092+2549j),(2869+2562j),(2892+2518j),(2736+2788j),(2419+2675j),(2337+2549j),(2396+2489j),(2125+2656j),(1936+2333j),(2048+2115j),(2134+2162j),(2010+2028j),(2236+1869j),(2395+1995j),(2252+2096j),(2340+1885j),(2554+2068j),(2473+2348j),(2187+2370j),(2224+2257j),(2210+2448j),(1960+2529j),(1785+2387j),(1847+2422j),(1560+2524j),(1294+2233j),(1452+1997j),(1513+2074j),(1344+2014j),(1319+1747j),(1609+1608j),(1652+1736j),(2075+2004j),(2209+1880j),(1982+1725j),(1763+1956j)
