0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
(2074+2101j),(1864+2281j),(1794+2281j),(2033+2099j),(2553+2345j),(2336+2731j),(2358+2600j),(2455+2679j),(2339+2711j),(2340+2540j),(2531+2627j),(2246+2706j),(2086+2524j),(2100+2117j),(2514+2045j),(2464+2194j),(2364+1955j),(2727+1830j),(2684+1968j),(2837+1754j),(3059+1833j),(3285+2108j),(2935+2339j),(2788+2218j),(2945+2124j),(2912+2464j),(2530+2480j),(2424+2380j),(2356+2426j),(1946+2370j),(2042+2012j),(2124+2026j),(1995+2210j),(1644+1938j),(1859+1585j),(2145+1626j),(2048+1745j),(2133+1529j),(2387+1731j),(2241+1907j),(2182+1737j),(2475+1809j),(2449+2187j),(2050+2384j),(1836+2149j),(1996+2133j),(2024+1939j),(1851+1787j),(1625+1964j),(1923+1973j)
(2067+2098j),(1860+2279j),(1806+2277j),(2039+2088j),(2573+2333j),(2371+2732j),(2384+2600j),(2485+2691j),(2374+2727j),(2358+2554j),(2552+2646j),(2269+2728j),(2097+2544j),(2106+2144j),(2515+2064j),(2453+2210j),(2362+1979j),(2721+1842j),(2668+1976j),(2826+1765j),(3048+1834j),(3268+2104j),(2924+2338j),(2782+2220j),(2936+2131j),(2906+2472j),(2530+2493j),(2413+2401j),(2352+2434j),(1945+2387j),(2033+2032j),(2118+2037j),(1992+2217j),(1627+1956j),(1833+1589j),(2119+1625j),(2026+1748j),(2115+1525j),(2371+1719j),(2230+1897j),(2174+1731j),(2473+1802j),(2445+2193j),(2056+2379j),(1841+2155j),(1993+2136j),(2021+1941j),(1861+1785j),(1616+1936j),(1898+1985j)
(2067+2102j),(1864+2282j),(1812+2278j),(2022+2097j),(2566+2308j),(2388+2728j),(2380+2602j),(2486+2681j),(2368+2725j),(2341+2554j),(2548+2624j),(2266+2726j),(2095+2544j),(2083+2154j),(2490+2044j),(2456+2203j),(2342+1986j),(2694+1823j),(2674+1974j),(2816+1754j),(3038+1830j),(3271+2075j),(2948+2332j),(2790+2222j),(2928+2118j),(2926+2446j),(2540+2490j),(2421+2398j),(2361+2421j),(1959+2404j),(2013+2036j),(2107+2032j),(1997+2208j),(1629+1978j),(1815+1594j),(2113+1607j),(2045+1746j),(2105+1524j),(2382+1703j),(2260+1900j),(2186+1739j),(2480+1785j),(2487+2171j),(2103+2379j),(1864+2171j),(2014+2142j),(1836+2368j),(2337.8260869565215+2166.086956521739j),(2337.8260869565215+2166.086956521739j),(2337.8260869565215+2166.086956521739j)
(2068+2118j),(1860+2283j),(1819+2291j),(2057+2098j),(2584+2349j),(2371+2741j),(2394+2604j),(2489+2697j),(2370+2741j),(2358+2556j),(2538+2656j),(2253+2742j),(2085+2537j),(2105+2134j),(2512+2072j),(2446+2197j),(2354+1962j),(2721+1836j),(2672+1947j),(2847+1753j),(3065+1843j),(3272+2093j),(2933+2328j),(2800+2227j),(2936+2121j),(2906+2469j),(2542+2489j),(2418+2384j),(2350+2431j),(1946+2380j),(2019+2019j),(2107+2034j),(1988+2205j),(1623+1937j),(1839+1585j),(2130+1612j),(2025+1733j),(2130+1519j),(2392+1712j),(2234+1893j),(2194+1737j),(2490+1797j),(2457+2196j),(2072+2393j),(1864+2162j),(1996+2166j),(2033+1938j),(1872+1796j),(1650+1947j),(1947+1966j)
(2069+2089j),(1877+2266j),(1839+2285j),(2064+2089j),(2602+2347j),(2386+2750j),(2388+2603j),(2489+2700j),(2364+2736j),(2346+2543j),(2536+2645j),(2242+2720j),(2080+2510j),(2104+2126j),(2506+2044j),(2446+2178j),(2354+1960j),(2705+1816j),(2674+1934j),(2854+1751j),(3065+1833j),(3268+2090j),(2951+2340j),(2800+2232j),(2926+2132j),(2918+2483j),(2532+2500j),(2400+2399j),(2345+2448j),(1939+2390j),(2007+2025j),(2106+2032j),(1988+2192j),(1623+1931j),(1845+1579j),(2132+1599j),(2036+1731j),(2138+1516j),(2394+1705j),(2242+1898j),(2195+1747j),(2476+1801j),(2452+2203j),(2070+2403j),(1840+2172j),(1973+2169j),(2031+1947j),(1878+1802j),(1652+1949j),(1945+1978j)
(2074+2088j),(1875+2275j),(1822+2293j),(2028+2090j),(2565+2338j),(2348+2740j),(2343+2586j),(2447+2676j),(2326+2703j),(2327+2509j),(2527+2610j),(2246+2688j),(2088+2484j),(2129+2109j),(2537+2035j),(2481+2180j),(2387+1983j),(2716+1833j),(2689+1952j),(2854+1775j),(3061+1854j),(3256+2108j),(2937+2354j),(2782+2244j),(2893+2130j),(2901+2460j),(2518+2486j),(2382+2374j),(2335+2414j),(1933+2362j),(2004+1998j),(2110+1998j),(2015+2166j),(1651+1924j),(1863+1563j),(2164+1592j),(2071+1749j),(2152+1538j),(2402+1738j),(2251+1932j),(2191+1782j),(2461+1832j),(2443+2215j),(2063+2416j),(1820+2184j),(1951+2166j),(2021+1954j),(1866+1810j),(1653+1977j),(1964+1994j)
(2082+2110j),(1875+2288j),(1797+2314j),(2010+2124j),(2514+2373j),(2258+2748j),(2279+2594j),(2379+2658j),(2264+2663j),(2295+2471j),(2504+2560j),(2228+2629j),(2108+2431j),(2170+2049j),(2592+2010j),(2554+2167j),(2460+1974j),(2788+1859j),(2765+1983j),(2916+1820j),(3096+1922j),(3287+2179j),(2930+2411j),(2760+2309j),(2873+2175j),(2856+2496j),(2473+2502j),(2361+2370j),(2315+2405j),(1917+2339j),(2014+1966j),(2128+1970j),(2036+2142j),(1697+1898j),(1918+1558j),(2216+1598j),(2126+1744j),(2214+1550j),(2452+1763j),(2280+1964j),(2206+1824j),(2451+1879j),(2415+2260j),(2016+2461j),(1772+2204j),(1906+2177j),(2025+1940j),(1868+1806j),(1665+1986j),(1982+1992j)
(2079+2088j),(1881+2290j),(1799+2326j),(1962+2118j),(2472+2343j),(2260+2758j),(2228+2580j),(2345+2639j),(2247+2659j),(2252+2456j),(2475+2521j),(2230+2615j),(2096+2403j),(2147+2038j),(2579+1960j),(2566+2134j),(2468+1986j),(2784+1832j),(2780+1979j),(2918+1822j),(3114+1916j),(3294+2171j),(2947+2448j),(2767+2337j),(2842+2192j),(2871+2501j),(2470+2536j),(2330+2390j),(2298+2404j),(1914+2364j),(1980+1962j),(2114+1949j),(2067+2108j),(1716+1906j),(1922+1554j),(2246+1579j),(2172+1762j),(2233+1572j),(2502+1768j),(2338+1991j),(2237+1858j),(2480+1897j),(2461+2276j),(2066+2499j),(1772+2258j),(1890+2192j),(2032+1955j),(1878+1816j),(1669+2001j),(2008+2017j)
(2084+2099j),(1878+2304j),(1759+2344j),(1920+2133j),(2420+2362j),(2169+2764j),(2141+2564j),(2269+2599j),(2181+2602j),(2223+2394j),(2466+2483j),(2217+2566j),(2119+2347j),(2209+1989j),(2662+1948j),(2655+2143j),(2554+2007j),(2857+1880j),(2843+2027j),(2970+1875j),(3150+1986j),(3296+2244j),(2916+2488j),(2726+2353j),(2814+2191j),(2840+2490j),(2444+2509j),(2324+2351j),(2300+2365j),(1938+2294j),(2049+1908j),(2200+1929j),(2143+2112j),(1788+1914j),(2004+1569j),(2322+1616j),(2231+1814j),(2277+1653j),(2492+1857j),(2290+2066j),(2183+1915j),(2409+1930j),(2365+2299j),(1952+2499j),(1672+2209j),(1823+2130j),(1686+2318j),(2337.913043478261+2176.5434782608695j),(2337.913043478261+2176.5434782608695j),(2337.913043478261+2176.5434782608695j)
(2072+2098j),(1842+2308j),(1704+2352j),(1856+2129j),(2332+2365j),(2071+2748j),(2040+2532j),(2174+2546j),(2104+2529j),(2186+2318j),(2436+2424j),(2201+2497j),(2144+2280j),(2256+1945j),(2715+1921j),(2718+2146j),(2614+2037j),(2898+1931j),(2866+2085j),(2986+1946j),(3141+2072j),(3254+2336j),(2852+2544j),(2657+2385j),(2748+2202j),(2780+2477j),(2391+2478j),(2295+2298j),(2297+2283j),(1981+2206j),(2133+1852j),(2292+1883j),(2239+2092j),(1892+1914j),(2109+1578j),(2429+1665j),(2322+1899j),(2325+1743j),(2501+1959j),(2280+2163j),(2136+1988j),(2336+2003j),(2290+2339j),(1854+2491j),(1585+2169j),(1767+2059j),(2015+1940j),(1824+1825j),(1591+2079j),(1950+2150j)
(2064+2097j),(1848+2309j),(1716+2347j),(1901+2123j),(2380+2398j),(2100+2755j),(2092+2548j),(2227+2581j),(2148+2564j),(2235+2352j),(2476+2478j),(2227+2548j),(2152+2329j),(2269+1994j),(2707+1985j),(2673+2196j),(2562+2065j),(2846+1958j),(2790+2096j),(2908+1934j),(3065+2034j),(3180+2280j),(2793+2452j),(2630+2288j),(2752+2096j),(2810+2370j),(2448+2380j),(2374+2217j),(2388+2227j),(2078+2165j),(2250+1852j),(2391+1918j),(2311+2168j),(1936+1990j),(2137+1663j),(2423+1781j),(2260+1994j),(2249+1819j),(2387+2032j),(2132+2179j),(1994+1969j),(2208+1945j),(2174+2243j),(1762+2370j),(1556+2030j),(1772+1921j),(2014+1954j),(1817+1831j),(1536+2087j),(1864+2207j)
(2073+2109j),(1847+2318j),(1685+2371j),(1812+2148j),(2268+2361j),(2005+2737j),(1978+2512j),(2130+2511j),(2063+2501j),(2161+2274j),(2447+2362j),(2234+2465j),(2200+2269j),(2302+1963j),(2758+1952j),(2759+2192j),(2625+2090j),(2890+1991j),(2837+2151j),(2912+1991j),(3050+2105j),(3156+2304j),(2766+2490j),(2583+2327j),(2683+2099j),(2762+2352j),(2415+2378j),(2346+2189j),(2384+2183j),(2113+2159j),(2272+1822j),(2436+1900j),(2399+2161j),(2008+2021j),(2187+1706j),(2470+1817j),(2309+2048j),(2247+1888j),(2399+2071j),(2134+2237j),(1949+2022j),(2164+1957j),(2138+2246j),(1727+2379j),(1501+2014j),(1744+1870j),(1677+2048j),(2311.478260869565+2174.195652173913j),(2311.478260869565+2174.195652173913j),(2311.478260869565+2174.195652173913j)
(2050+2108j),(1811+2317j),(1630+2348j),(1774+2106j),(2216+2328j),(1946+2642j),(1962+2401j),(2136+2404j),(2092+2373j),(2242+2160j),(2528+2310j),(2314+2403j),(2298+2238j),(2424+1962j),(2851+2007j),(2826+2264j),(2682+2174j),(2918+2103j),(2812+2260j),(2874+2087j),(2978+2179j),(3066+2389j),(2663+2518j),(2487+2319j),(2629+2088j),(2703+2324j),(2370+2309j),(2348+2125j),(2421+2126j),(2164+2086j),(2374+1811j),(2534+1913j),(2463+2212j),(2080+2075j),(2260+1772j),(2517+1929j),(2306+2161j),(2240+1984j),(2333+2187j),(2036+2316j),(1858+2062j),(2060+1993j),(2026+2252j),(1609+2330j),(1439+1931j),(1717+1797j),(2023+1951j),(1809+1832j),(1482+2117j),(1786+2297j)
(2065+2115j),(1808+2322j),(1610+2351j),(1723+2093j),(2157+2298j),(1885+2596j),(1908+2328j),(2106+2331j),(2080+2306j),(2247+2085j),(2560+2254j),(2359+2354j),(2359+2192j),(2488+1947j),(2916+2000j),(2889+2275j),(2728+2212j),(2949+2155j),(2814+2311j),(2862+2150j),(2946+2225j),(3020+2414j),(2620+2545j),(2440+2319j),(2589+2069j),(2689+2314j),(2369+2277j),(2362+2088j),(2466+2106j),(2224+2072j),(2429+1814j),(2601+1929j),(2526+2222j),(2127+2103j),(2311+1831j),(2533+1988j),(2301+2228j),(2224+2060j),(2297+2228j),(1979+2357j),(1806+2088j),(2008+1985j),(1968+2246j),(1570+2306j),(1413+1877j),(1711+1756j),(2011+1944j),(1770+1843j),(1453+2163j),(1757+2318j)
(2066+2106j),(1810+2329j),(1572+2352j),(1656+2084j),(2084+2258j),(1815+2551j),(1828+2268j),(2054+2252j),(2052+2220j),(2239+2009j),(2574+2171j),(2395+2292j),(2405+2162j),(2530+1931j),(2964+1997j),(2932+2304j),(2761+2257j),(2970+2204j),(2820+2383j),(2843+2206j),(2912+2274j),(2983+2439j),(2588+2567j),(2400+2337j),(2542+2066j),(2662+2285j),(2360+2256j),(2368+2065j),(2485+2074j),(2264+2067j),(2473+1806j),(2653+1939j),(2585+2266j),(2168+2161j),(2332+1887j),(2556+2054j),(2311+2285j),(2202+2110j),(2273+2276j),(1945+2380j),(1753+2103j),(1971+1984j),(1942+2226j),(1544+2279j),(1409+1840j),(1733+1698j),(1715+1866j),(2299.6521739130435+2175.217391304348j),(2299.6521739130435+2175.217391304348j),(2299.6521739130435+2175.217391304348j)
